"Building IRN","Building Name","District IRN","District Name","County","Region","Street address","City and Zip code","Phone #","Principal","Grade Span","Open/Closed Status (as of 9/1/2014)","School Type","Number of Standards Met","Number of Standards Possible","Percent of Standards Met","Letter Grade of Standards Met","Performance Index Score 2013-14","Performance Index Percent 2013-14","Letter Grade of Performance Index","Letter Grade of Overall Value-Added","Letter Grade of Gifted Value-Added","Letter Grade of Disabled Value-Added","Letter Grade of Lowest 20% Value-Added","Letter Grade of AMO","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","Letter Grade of 4-Year Graduate Rate 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Letter Grade of 5-Year Graduate Rate 2012","Enrollment","Read 3rd Grade 2013-14 % at or above Proficient","Read 3rd Grade 2012-13 % at or above Proficient","Read 3rd Grade 2011-12 % at or above Proficient","Math 3rd Grade 2013-14 % at or above Proficient","Math 3rd Grade 2012-13 % at or above Proficient","Math 3rd Grade 2011-12 % at or above Proficient","Read 4th Grade 2013-14 % at or above Proficient","Read 4th Grade 2012-13 % at or above Proficient","Read 4th Grade 2011-12 % at or above Proficient","Math 4th Grade 2013-14 % at or above Proficient","Math 4th Grade 2012-13 % at or above Proficient","Math 4th Grade 2011-12 % at or above Proficient","Read 5th Grade 2013-14 % at or above Proficient","Read 5th Grade 2012-13 % at or above Proficient","Read 5th Grade 2011-12 % at or above Proficient","Math 5th Grade 2013-14 % at or above Proficient","Math 5th Grade 2012-13 % at or above Proficient","Math 5th Grade 2011-12 % at or above Proficient","Science 5th Grade 2013-14 % at or above Proficient","Science 5th Grade 2012-13 % at or above Proficient","Science 5th Grade 2011-12 % at or above Proficient","Read 6th Grade 2013-14 % at or above Proficient","Read 6th Grade 2012-13 % at or above Proficient","Read 6th Grade 2011-12 % at or above Proficient","Math 6th Grade 2013-14 % at or above Proficient","Math 6th Grade 2012-13 % at or above Proficient","Math 6th Grade 2011-12 % at or above Proficient","Read 7th Grade 2013-14 % at or above Proficient","Read 7th Grade 2012-13 % at or above Proficient","Read 7th Grade 2011-12 % at or above Proficient","Math 7th Grade 2013-14 % at or above Proficient","Math 7th Grade 2012-13 % at or above Proficient","Math 7th Grade 2011-12 % at or above Proficient","Read 8th Grade 2013-14 % at or above Proficient","Read 8th Grade 2012-13 % at or above Proficient","Read 8th Grade 2011-12 % at or above Proficient","Math 8th Grade 2013-14 % at or above Proficient","Math 8th Grade 2012-13 % at or above Proficient","Math 8th Grade 2011-12 % at or above Proficient","Science 8th Grade 2013-14 % at or above Proficient","Science 8th Grade 2012-13 % at or above Proficient","Science 8th Grade 2011-12 % at or above Proficient","Read OGT 2013-14 % at or above Proficient","Read OGT 2012-13 % at or above Proficient","Read OGT 2011-12 % at or above Proficient","Math OGT 2013-14 % at or above Proficient","Math OGT 2012-13 % at or above Proficient","Math OGT 2011-12 % at or above Proficient","Write OGT 2013-14 % at or above Proficient","Write OGT 2012-13 % at or above Proficient","Write OGT 2011-12 % at or above Proficient","Social Studies OGT 2013-14 % at or above Proficient","Social Studies OGT 2012-13 % at or above Proficient","Social Studies OGT 2011-12 % at or above Proficient","Science OGT 2013-14 % at or above Proficient","Science OGT 2012-13 % at or above Proficient","Science OGT 2011-12 % at or above Proficient","Read 11th Grade 2013-14 % at or above Proficient","Read 11th Grade 2012-13 % at or above Proficient","Read 11th Grade 2011-12 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2012-13 % at or above Proficient","Math 11th Grade 2011-12 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2012-13 % at or above Proficient","Write 11th Grade 2011-12 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2012-13 % at or above Proficient","Social Studies 11th Grade 2011-12 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2012-13 % at or above Proficient","Science 11th Grade 2011-12 % at or above Proficient","Attendance 2013-14","Attendance 2012-13","Attendance 2011-12","Performance Index Score 2012-13","Performance Index Score 2011-12","Four-Year Graduation Rate Numerator 2013","Four-Year Graduation Rate Denominator 2013","Five-Year Graduation Numerator 2012","Five-Year Graduation Denominator 2012","% Graduates Participating in ACT 2012-13","Number of ACT Remediation Free in 2012-13","% of ACT Remediation Free in 2012-13","% Graduates Participating in SAT 2012-13","Number of SAT Remediation Free in 2012-13","% of SAT Remediation Free in 2012-13","% Graduates with Honors Diploma in 2012-13","Number of Graduates Participating in an AP Test 2012-13","% AP Test Takers with an AP score of 3 or above 2012-13","% Students with an Industry Credential 2012-13","% Students with At Least 3 Dual Enrollment Credits 2012-13"
"000808","Horizon Science Academy-Dayton","000808","Horizon Science Academy-Dayton","Montgomery","Region 10","4751 sue ann blvd","Dayton, OH   45415","(937) 277-1177","","K-6","Open","Community School Startup","0.0","4.0","0.0","F","71.328","59.4","D","B","NR","C","C","F","--","NR","--","NR","154","44.4","52.2","33.3","41.7","43.5","55.6","57.1","63.6","70.6","35.7","31.8","47.1","--","--","66.7","--","--","55.6","--","--","50.0","--","--","86.4","--","--","77.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.5","92.2","93.6","73.556","83.10300000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000825","Horizon Science Academy-Springfield","000825","Horizon Science Academy-Springfield","Lucas","Region 1","630 S Reynolds Rd","Toledo, OH   43615-6314","(419) 535-0524","","K-8","Open","Community School Startup","1.0","14.0","7.1","F","82.686","68.9","D","A","NR","D","A","F","--","NR","--","NR","390","48.8","47.8","78.9","62.5","50.0","84.2","58.5","93.3","81.8","36.6","73.3","90.9","51.2","54.3","62.5","44.2","48.6","37.5","44.2","31.4","45.8","73.0","74.4","87.5","62.2","74.4","91.7","70.2","70.0","86.4","63.8","72.5","75.0","86.4","89.7","77.3","75.0","71.8","86.4","54.5","56.4","56.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.4","92.3","94.2","86.259","91.46900000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000838","Horizon Science Academy-Denison Middle School","000838","Horizon Science Academy-Denison Middle School","Cuyahoga","Region 3","1700 Denison Ave","Cleveland, OH   44109-2925","(216) 739-9911","","K-12","Open","Community School Startup","1.0","14.0","7.1","F","76.836","64.0","D","F","NR","NR","D","F","--","NR","--","NR","300","29.2","64.6","60.0","29.2","64.6","60.0","60.5","50.0","66.7","41.9","54.5","70.8","30.4","27.3","47.8","34.8","63.6","43.5","34.8","50.0","34.8","76.9","71.0","76.5","43.6","48.4","58.8","63.6","57.1","63.8","51.5","45.7","40.4","80.0","79.1","81.3","71.4","69.8","81.5","60.0","62.8","80.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.7","94.2","94.6","83.319","85.536","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000843","Bennett Venture Academy","000843","Bennett Venture Academy","Lucas","Region 1","5130 Bennett Road","Toledo, OH   43612","(419) 269-2247","Xavier Owens","K-8","Open","Community School Startup","3.0","14.0","21.4","F","86.424","72.0","C","D","NR","B","D","F","--","NR","--","NR","638","74.7","87.7","81.9","77.3","84.0","83.3","86.6","78.6","76.5","72.0","64.3","61.8","55.7","50.9","65.8","42.9","29.1","63.0","41.4","41.8","65.8","80.0","82.8","86.7","56.4","59.4","75.0","76.0","78.4","62.5","52.0","66.7","51.4","87.5","90.6","82.6","64.6","64.1","76.8","41.7","64.1","50.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.4","94.7","95.1","88.571","89.381","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000855","Stambaugh Charter Academy","000855","Stambaugh Charter Academy","Mahoning","Region 5","2420 Donald Ave","Youngstown, OH   44509-1306","(330) 792-4806","Landon A. Brown II","K-8","Open","Community School Startup","3.0","14.0","21.4","F","84.789","70.7","C","A","NR","A","A","F","--","NR","--","NR","444","87.8","80.0","70.3","75.6","82.2","75.7","73.2","90.2","80.0","68.3","73.2","90.0","54.8","64.4","81.4","57.1","80.0","67.4","33.3","55.6","76.7","83.3","97.7","65.2","77.1","83.7","63.0","81.5","60.8","59.5","44.4","43.1","48.6","67.3","75.5","64.0","46.9","45.3","64.0","38.8","41.2","40.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.9","94.3","94.3","87.881","88.64","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000858","Horizon Science Academy-Cleveland Middle School","000858","Horizon Science Academy-Cleveland Middle School","Cuyahoga","Region 3","6100 S Marginal Rd","Cleveland, OH   44103-1043","(216) 432-9940","","K-12","Open","Community School Startup","4.0","7.0","57.1","D","95.200","79.3","C","A","NR","A","A","A","--","NR","--","NR","139","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","81.4","80.0","82.9","72.1","86.7","85.4","80.4","89.6","82.2","78.3","68.8","77.8","98.0","91.1","81.1","91.8","75.6","81.1","59.2","57.8","64.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","94.5","95.5","93.956","94.048","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000875","Westside Academy","000875","Westside Academy","Franklin","Region 11","4330 Clime Rd North","Columbus, OH   43228-3439","(614) 272-9392","","K-8","Open","Community School Startup","0.0","4.0","0.0","F","79.099","65.9","D","B","NR","NR","C","F","--","NR","--","NR","154","59.3","68.2","53.3","38.5","68.2","46.7","58.8","75.0","90.0","58.8","58.3","90.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","96.7","95.0","95.1","86.912","85.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000909","V L T Academy","000909","V L T Academy","Hamilton","Region 13","1100 Sycamore St","Cincinnati, OH   45202-1321","(513) 421-1129","RAVINE R. HUBBARD","K-12","Closed","Community School Startup","2.0","24.0","8.3","F","66.558","55.5","D","F","NR","NR","D","F","45.5","F","61.9","F","605","34.8","43.6","44.2","34.8","27.3","36.4","61.4","62.1","60.6","43.2","36.2","47.9","32.0","38.1","28.3","18.0","22.2","16.7","14.0","14.3","26.7","53.8","48.9","76.1","32.7","27.7","49.3","57.1","50.8","65.9","31.0","26.2","31.8","47.7","61.5","63.9","39.5","15.4","36.1","13.6","12.8","14.8","74.1","71.0","75.0","53.8","33.3","40.0","72.0","70.0","75.0","42.3","33.3","55.0","20.0","23.3","35.0","88.9","83.3","84.6","55.6","50.0","73.1","88.9","83.3","88.5","72.2","72.2","73.1","38.9","55.6","61.5","89.0","93.0","94.0","66.46300000000001","71.855","15","33","13","21","24.2","--","--","33.3","--","--","0.0","0","0.0","0.0","0.0"
"000930","Cleveland Entrepreneurship Preparatory School","043786","Cleveland Municipal","Cuyahoga","Region 3","1417 E 36th St Fl 2","Cleveland, OH   44114-4116","(216) 456-2080","John R. McBride","5-8","Open","Community School Startup","4.0","10.0","40.0","F","88.902","74.1","C","A","NR","A","A","F","--","NR","--","NR","293","--","--","--","--","--","--","--","--","--","--","--","--","50.0","--","--","50.8","--","--","41.0","--","--","78.1","61.5","72.8","78.1","84.6","73.8","84.7","74.0","81.9","87.5","84.4","73.3","86.8","96.6","98.6","81.3","87.6","97.1","51.3","67.4","84.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.6","93.3","94.6","96.152","96.233","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000938","Premier Academy of Ohio","000938","Premier Academy of Ohio","Franklin","Region 11","1555 Elaine Rd","Columbus, OH   43227-2347","(614) 856-1149","Hydia L. Green","6-12","Open","Community School Startup","0.0","10.0","0.0","F","60.000","50.0","D","C","NR","NR","C","NR","46.4","F","67.4","F","96","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","50.0","--","--","35.7","--","23.1","--","--","23.1","--","--","7.7","--","50.0","61.9","63.2","30.8","33.3","55.3","58.3","42.9","64.9","46.2","40.0","43.2","30.8","25.0","35.1","81.8","95.0","75.0","68.2","65.0","65.0","78.3","84.2","60.0","63.6","55.0","42.1","63.6","50.0","42.9","84.9","84.1","87.9","65.417","74.706","13","28","31","46","25.0","--","--","--","--","--","0.0","0","0.0","0.0","0.0"
"000941","Par Excellence Academy","044453","Newark City","Licking","Region 11","96 Maholm St","Newark, OH   43055-3906","(740) 344-7279","","K-6","Open","Community School Conversion","4.0","7.0","57.1","D","95.114","79.3","C","A","NR","NR","NR","F","--","NR","--","NR","127","100.0","94.1","66.7","92.3","82.4","94.4","93.8","100.0","70.6","87.5","83.3","76.5","40.0","68.8","88.2","50.0","43.8","70.6","40.0","56.3","70.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.9","94.1","93.7","91.98100000000001","93.14","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000946","Cleveland Community School","000946","Cleveland Community School","Cuyahoga","Region 3","1701 E 12th St","Cleveland, OH   44114-3236","(216) 523-1133","David D. Mowry","K-12","Open","Community School Startup","0.0","4.0","0.0","F","59.524","49.6","F","C","NR","NR","C","F","--","NR","--","NR","218","33.3","30.0","38.1","16.7","10.0","33.3","51.5","58.8","42.9","27.3","41.2","57.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","82.3","85.6","88.0","61.892","69.881","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000949","Villaview Community School","000949","Villaview Community School","Cuyahoga","Region 3","1701 E 12th St","Cleveland, OH   44114-3236","(216) 523-1133","","K-9","Open","Community School Startup","0.0","10.0","0.0","F","58.340","48.6","F","D","NR","NR","F","F","--","NR","--","NR","133","--","--","--","--","--","--","--","--","--","--","--","--","8.7","30.0","45.8","4.3","25.0","25.0","--","--","29.2","46.4","40.7","80.0","32.1","11.1","64.0","38.7","44.4","35.7","22.6","38.9","35.7","41.7","64.7","60.0","12.5","23.5","40.0","12.5","29.4","13.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","85.0","87.9","90.6","61.791000000000004","73.077","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000951","Toledo Preparatory and Fitness Academy","000951","Toledo Preparatory and Fitness Academy","Lucas","Region 1","3001 Hill Ave","Toledo, OH   43607-2932","(419) 535-3700","Valerie E. Sandy","K-8","Open","Community School Startup","7.0","9.0","77.8","C","96.436","80.4","B","A","NR","NR","NR","F","--","NR","--","NR","179","88.5","100.0","77.8","96.2","100.0","81.5","100.0","100.0","72.7","100.0","95.2","72.7","89.5","75.0","--","47.4","75.0","--","42.1","66.7","--","90.9","--","100.0","81.8","--","84.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.9","95.8","96.6","101.38900000000001","93.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000952","Columbus Preparatory and Fitness Academy","000952","Columbus Preparatory and Fitness Academy","Franklin","Region 11","1258 Demorest Rd","Columbus, OH   43204-7003","(614) 318-0606","Jessica K. Hursey","K-8","Open","Community School Startup","1.0","14.0","7.1","F","80.262","66.9","D","B","NR","NR","D","F","--","NR","--","NR","226","55.0","92.9","72.7","70.0","85.7","72.7","75.0","85.7","64.7","75.0","64.3","70.6","42.1","66.7","81.3","26.3","25.0","31.3","47.4","41.7","31.3","61.1","88.2","80.0","38.9","41.2","40.0","88.2","57.1","68.8","58.8","57.1","50.0","70.0","93.8","--","30.0","56.3","--","20.0","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.6","94.1","94.6","87.178","84.0","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000953","Mt. Healthy Preparatory and Fitness Academy","000953","Mt. Healthy Preparatory and Fitness Academy","Hamilton","Region 13","7601 Harrison Ave","Cincinnati, OH   45231-3107","(513) 587-6280","Timothy R. Baggs","K,1-8,SN","Open","Community School Startup","2.0","11.0","18.2","F","84.417","70.3","C","A","NR","NR","A","F","--","NR","--","NR","236","60.6","64.7","53.3","75.8","70.6","40.0","82.4","93.8","73.7","58.8","43.8","36.8","62.5","58.3","48.0","37.5","41.7","32.0","43.8","41.7","32.0","84.6","59.1","100.0","76.9","63.6","85.0","76.9","66.7","100.0","53.8","66.7","100.0","--","90.0","81.8","--","70.0","90.9","--","10.0","27.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","94.0","94.5","82.35000000000001","81.57900000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"007984","Youngstown Academy of Excellence","007984","Youngstown Academy of Excellence","Mahoning","Region 5","1408 Rigby St","Youngstown, OH   44506-1617","(330) 746-3970","Faye J. Pleso","K-12","Open","Community School Startup","1.0","14.0","7.1","F","71.894","59.9","D","C","NR","NR","A","F","--","NR","--","NR","191","40.7","57.7","11.1","57.7","42.3","3.7","81.8","52.2","4.5","54.5","39.1","4.5","33.3","12.5","6.3","28.6","12.5","31.3","9.5","18.8","12.5","10.0","42.1","27.8","40.0","52.6","16.7","60.0","35.3","--","46.7","29.4","--","46.2","36.4","18.2","46.2","36.4","0.0","30.8","27.3","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.0","91.8","93.6","66.733","48.658","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"007995","Cleveland Arts and Social Sciences Academy","007995","Cleveland Arts and Social Sciences Academy","Cuyahoga","Region 3","10701 Shaker Blvd","Cleveland, OH   44104-3752","(216) 229-3000","Debroah A. Mays","K-12","Open","Community School Startup","8.0","14.0","57.1","D","92.659","77.2","C","A","NR","NR","A","F","--","NR","--","NR","287","70.0","86.5","70.5","70.0","78.4","76.2","85.7","97.4","76.9","75.0","84.2","48.7","69.0","82.4","78.6","82.8","79.4","50.0","48.3","38.2","28.6","90.5","96.0","90.9","81.0","76.0","78.8","90.5","79.2","83.3","76.2","66.7","79.2","88.9","95.5","80.0","88.9","95.5","65.0","83.3","22.7","20.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.0","93.3","95.4","91.947","85.94800000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"007999","Charles School at Ohio Dominican University","007999","Charles School at Ohio Dominican University","Franklin","Region 11","3950 Indianola Ave","Columbus, OH   43214-3158","(614) 258-8588","Yolanda Perez","9-12","Open","Community School Startup","9.0","10.0","90.0","A","99.238","82.7","B","NR","NR","NR","NR","F","1.6","F","78.2","F","357","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.2","87.5","94.4","80.9","78.0","80.8","91.0","81.5","95.8","84.3","78.3","87.5","78.7","74.1","86.3","93.0","100.0","100.0","89.5","93.6","91.2","94.7","100.0","98.2","96.6","98.0","93.9","91.4","98.0","93.2","92.9","93.7","94.1","95.799","99.77900000000001","1","61","43","55","62.3","9","14.8","--","--","--","0.0","0","0.0","0.0","0.0"
"008000","Lorain Preparatory Academy","008000","Lorain Preparatory Academy","Lorain","Region 2","3038 Leavitt Rd","Lorain, OH   44052-4112","(440) 282-3127","","K-12","Open","Community School Startup","0.0","11.0","0.0","F","82.348","68.6","D","A","NR","C","C","F","--","NR","--","NR","149","59.5","--","64.7","73.0","--","70.6","74.2","--","79.2","54.8","--","66.7","52.2","56.0","54.8","60.9","56.0","58.1","30.4","24.0","51.6","69.6","90.5","92.9","43.5","57.1","71.4","62.5","--","94.1","58.3","--","94.1","--","83.3","--","--","83.3","--","--","66.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.7","92.7","95.3","84.866","89.25500000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"008061","Arts and Science Preparatory Academy","008061","Arts and Science Preparatory Academy","Cuyahoga","Region 3","2711 Church Ave","Cleveland, OH   44113-2909","(216) 344-2081","Michelle N. Person","K-12","Closed","Community School Startup","0.0","2.0","0.0","F","80.750","67.3","D","A","NR","NR","NR","F","--","NR","--","NR","98","69.2","64.3","53.8","69.2","42.9","69.2","--","63.6","35.7","--","36.4","21.4","--","--","--","--","--","--","--","--","--","--","--","63.6","--","--","45.5","--","80.0","52.6","--","70.0","36.8","--","77.8","68.8","--","50.0","50.0","--","33.3","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.0","92.1","91.1","75.422","73.757","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"008064","Academy of Arts and Sciences","008064","Academy of Arts and Sciences","Lorain","Region 2","201 W Erie Ave","Lorain, OH   44052-1641","(440) 244-0156","James P. Sinclair","K-12","Open","Community School Startup","0.0","0.0","NR","NR","0.000","0.0","NR","NR","NR","NR","NR","NR","--","NR","--","NR","243","--","76.0","52.9","--","76.0","58.8","--","66.7","--","--","55.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.4","91.3","93.6","90.0","83.235","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"008065","Imani Learning Academy","008065","Imani Learning Academy","Lucas","Region 1","728 Parkside Blvd","Toledo, OH   43607-3858","(419) 535-7078","Thomas J. Gladieux","K-8","Closed","Community School Startup","0.0","12.0","0.0","F","71.844","59.9","D","C","NR","NR","D","F","--","NR","--","NR","140","53.8","71.4","54.2","53.8","57.1","54.2","66.7","70.6","42.9","33.3","47.1","23.8","33.3","30.8","33.3","25.0","7.7","8.3","--","7.7","0.0","61.1","--","68.8","27.8","--","43.8","--","--","46.2","--","--","69.2","72.7","--","72.2","45.5","--","83.3","9.1","--","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","94.9","94.7","76.42","75.672","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"008278","Noble Academy-Cleveland","008278","Noble Academy-Cleveland","Cuyahoga","Region 3","1200 E 200th St","Euclid, OH   44117-1111","(216) 486-8866","","K-12","Open","Community School Startup","7.0","14.0","50.0","D","92.516","77.1","C","C","NR","NR","D","F","--","NR","--","NR","337","85.4","84.4","81.0","65.9","75.0","90.5","81.8","97.8","80.0","56.8","73.9","92.0","75.0","73.9","76.5","54.5","56.5","76.5","56.8","65.2","76.5","95.8","89.5","100.0","83.3","68.4","100.0","82.6","88.9","88.9","73.9","94.4","88.9","95.7","95.2","100.0","95.7","90.5","81.8","78.3","61.9","100.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","96.2","96.2","97.0","96.298","100.07000000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"008280","Noble Academy-Columbus","008280","Noble Academy-Columbus","Franklin","Region 11","1329 Bethel Rd","Columbus, OH   43220-2611","(614) 326-0687","","K-12","Open","Community School Startup","7.0","14.0","50.0","D","92.411","77.0","C","A","NR","NR","A","F","--","NR","--","NR","257","73.1","71.0","81.8","73.1","71.0","77.3","84.4","91.7","75.0","62.5","79.2","65.0","65.2","64.0","65.0","56.5","70.8","55.0","60.9","54.2","55.0","81.0","77.3","77.8","90.5","77.3","88.9","90.0","75.0","77.8","80.0","80.0","100.0","87.0","86.7","78.9","95.7","93.3","84.2","56.5","53.3","68.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.7","95.0","95.4","91.763","92.051","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"008281","South Scioto Academy","008281","South Scioto Academy","Franklin","Region 11","707 E Jenkins Ave","Columbus, OH   43207-1318","(614) 445-7684","Courtney R. Watters","K-12","Open","Community School Startup","0.0","14.0","0.0","F","73.290","61.1","D","B","NR","NR","B","F","--","NR","--","NR","165","50.0","52.9","44.4","47.1","64.7","37.5","33.3","53.3","50.0","40.0","33.3","50.0","41.7","63.6","47.6","41.7","36.4","19.0","25.0","27.3","33.3","63.2","50.0","84.6","47.4","50.0","84.6","61.1","63.6","--","50.0","45.5","--","66.7","--","--","61.1","--","--","22.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","88.3","92.0","96.2","74.32300000000001","70.629","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"008286","Harvard Avenue Community School","008286","Harvard Avenue Community School","Cuyahoga","Region 3","12000 Harvard Ave","Cleveland, OH   44105-5444","(216) 283-5100","Pharon W. Holtrey","K-8","Open","Community School Startup","0.0","14.0","0.0","F","68.902","57.4","D","F","NR","C","F","F","--","NR","--","NR","494","46.3","56.9","47.5","50.0","50.0","38.8","51.7","62.5","42.6","45.0","28.1","32.4","28.9","29.8","55.6","22.2","21.1","28.6","17.8","21.1","19.0","54.5","71.7","68.1","36.4","37.0","38.3","63.9","52.4","65.7","36.1","23.8","48.6","47.1","80.8","76.0","35.3","53.8","44.0","11.8","26.9","32.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.9","92.9","95.1","70.885","71.00800000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
