"Building IRN ","Building Name","District IRN","District Name","County","Region","School Type","Teachers Attendance Rate 2013-14","Average Years of Teacher Experience","Average Number of Full Time Teachers","Average Teacher Salary","Average Number of Full Time Teachers Who Have At Least a Bachelors","% of Teachers Who Have At Least a Bachelors","Average Number of Full Time Teachers Who Have At Least a Masters","% of Teachers Who Have At Least a Masters","% of Core Courses Taught by a Properly Certified Teacher","# of Core Courses Taught by a Properly Certified Teacher","Total # of Core Courses","% of Core Courses Taught by a Highly Qualified Teacher","# of Core Courses Taught by a Highly Qualified Teacher","% of Core Courses Taught by Teacher with a Temporary Certificate","# of Core Courses Taught by Teacher with a Temporary Certificate","Open/Closed Status (as of 9/1/2014)","Feeder IRN"
"001123","Lakeside High School","043513","Ashtabula Area City","Ashtabula","Region 5","High School","95.3","14","50","51765","50","100.0","34","67.8","100","289.0","289.0","100.0","289.0","0","0.0","Open","******"
"001131","Ashville Elementary School","049098","Teays Valley Local","Pickaway","Region 11","Elementary School","95.3","15","20","56676","20","100.0","12","58.2","100","80.0","80.0","97.5","78.0","0","0.0","Open","064188"
"001149","Athens High School","043521","Athens City","Athens","Region 16","High School","94.3","14","53","59230","53","100.0","39","73.6","97.1","437.0","450.0","99.3","447.0","0","0.0","Open","******"
"001172","Atkinson Elementary School","044016","Fremont City","Sandusky","Region 1","Elementary School","95.4","12","18","53977","18","100.0","9","51.5","100","90.0","90.0","100.0","90.0","0","0.0","Open","012492"
"001180","Seneca East Elementary","049684","Seneca East Local","Seneca","Region 7","Elementary School","94.5","8","27","51452","27","100.0","8","29.6","100","145.0","145.0","100.0","145.0","0","0.0","Open","061846"
"001198","Seneca East High School","049684","Seneca East Local","Seneca","Region 7","High School","96.1","10","20","53284","20","100.0","9","42.5","100","102.0","102.0","100.0","102.0","0","0.0","Open","******"
"001206","Waterloo Elementary School","049247","Waterloo Local","Portage","Region 8","Elementary School","95.8","13","30","51599","29","96.7","18","58.3","100","139.0","139.0","100.0","139.0","0","0.0","Open","031054"
"001214","Atwater Elementary School","043760","Circleville City","Pickaway","Region 11","Elementary School","95.6","14","20","63544","20","100.0","16","80.0","100","119.0","119.0","100.0","119.0","0","0.0","Closed","006338"
"001222","Auburn Elementary School","044776","Shelby City","Richland","Region 7","Elementary School","95.8","13","27","49221","27","100.0","19","69.8","99.2","117.0","118.0","100.0","118.0","0","0.0","Open","034298"
"001230","Timmons Elementary School","047191","Kenston Local","Geauga","Region 4","Elementary School","95.5","18","36","70543","36","100.0","30","81.7","100","196.0","196.0","100.0","196.0","0","0.0","Open","029439"
"001255","Oakwood Elementary School","045575","Paulding Exempted Village","Paulding","Region 1","Elementary School","95","19","21","53900","21","100.0","17","83.7","100","102.0","102.0","100.0","102.0","0","0.0","Open","029447"
"001271","Augusta Elementary School","045278","Carrollton Exempted Village","Carroll","Region 12","Elementary School","92.6","17","10","46059","10","100.0","7","68.3","100","38.0","38.0","100.0","38.0","0","0.0","Open","081752"
"001297","Aurora High School","049171","Aurora City","Portage","Region 8","High School","95.8","16","59","72558","59","100.0","54","91.4","100","264.0","264.0","100.0","264.0","0","0.0","Open","******"
"001313","Craddock/Miller Elementary School","049171","Aurora City","Portage","Region 8","Elementary School","96","13","33","68024","33","100.0","25","76.2","100","112.0","112.0","100.0","112.0","0","0.0","Open","140889"
"001321","Austinburg Elementary School","044057","Geneva Area City","Ashtabula","Region 5","Elementary School","95.4","20","17","61598","17","100.0","13","76.5","100","71.0","71.0","100.0","71.0","0","0.0","Open","013227"
"001339","Austintown Middle School","048298","Austintown Local","Mahoning","Region 5","Middle School","94","7","74","50288","74","100.0","48","64.2","100","214.0","214.0","100.0","214.0","0","0.0","Open","011791"
"001347","Avery Elementary School","047019","Hilliard City","Franklin","Region 11","Elementary School","95.3","20","24","79548","24","100.0","21","87.2","100","122.0","122.0","100.0","122.0","0","0.0","Open","140814"
"001354","Avon East Elementary School","048116","Avon Local","Lorain","Region 2","Elementary School","93.9","4","33","55130","33","100.0","23","69.7","100","139.0","139.0","100.0","139.0","0","0.0","Open","000701"
"001362","Avon Village Elementary School","048116","Avon Local","Lorain","Region 2","Elementary School","95.5","2","14","52765","14","100.0","6","42.3","100","84.0","84.0","100.0","84.0","0","0.0","Open","001354"
"001370","Avon High School","048116","Avon Local","Lorain","Region 2","High School","95.4","3","63","50211","63","100.0","30","47.1","99.7","294.0","295.0","100.0","295.0","0","0.0","Open","******"
"001388","Avon Lake High School","048124","Avon Lake City","Lorain","Region 2","High School","96.4","18","60","64895","60","100.0","51","85.0","100","513.0","513.0","100.0","513.0","0","0.0","Open","******"
"001396","Avondale Elementary School","043802","Columbus City School District","Franklin","Region 11","Elementary School","93.8","11","21","63243","20","95.2","14","66.7","96.8","149.0","154.0","100.0","154.0","0","0.0","Open","035824"
"001404","Avondale Elementary School","049932","Plain Local","Stark","Region 9","Elementary School","96.9","15","11","55671","11","100.0","7","63.6","100","72.0","72.0","100.0","72.0","0","0.0","Open","036848"
"001412","Ayersville Elementary School","046706","Ayersville Local","Defiance","Region 1","Elementary School","96.8","17","26","54322","26","100.0","19","71.0","100","134.0","134.0","100.0","134.0","0","0.0","Open","001420"
"001420","Ayersville High School","046706","Ayersville Local","Defiance","Region 1","High School","96.4","19","28","53144","28","100.0","21","76.8","100","208.0","208.0","100.0","208.0","0","0.0","Open","******"
"001438","Babeck Early Childhood School","046094","Edgewood City","Butler","Region 13","Elementary School","95.5","11","28","52936","28","100.0","22","79.6","100","102.0","102.0","100.0","102.0","0","0.0","Open","002923"
"001446","Badger High School","050179","Joseph Badger Local","Trumbull","Region 5","High School","96.9","16","14","56174","14","100.0","7","51.0","100","74.0","74.0","100.0","74.0","0","0.0","Open","******"
"001453","Paint Valley Middle School","049510","Paint Valley Local","Ross","Region 15","Middle School","94.4","15","14","57371","14","100.0","12","83.5","100","28.0","28.0","100.0","28.0","0","0.0","Open","029025"
"001461","Baker Elementary School","050153","Mathews Local","Trumbull","Region 5","Elementary School","95","15","19","52847","19","100.0","14","73.3","100","85.0","85.0","100.0","85.0","0","0.0","Open","026500"
"001537","Barber Community Learning Center","043489","Akron City","Summit","Region 8","Elementary School","97.8","13","26","67101","26","100.0","21","80.8","90.9","140.0","154.0","96.1","148.0","0","0.0","Open","009498"
"001545","Barberton High School","043539","Barberton City","Summit","Region 8","High School","95.7","15","74","57907","74","100.0","51","69.0","99.6","511.0","513.0","100.0","513.0","0","0.0","Open","******"
"001578","Barlow-Vincent Elementary School","050500","Warren Local","Washington","Region 16","Elementary School","94.3","13","43","51372","43","100.0","29","67.7","98.8","239.0","242.0","100.0","242.0","0","0.0","Open","039248"
"001594","Barnesville Elementary School","045203","Barnesville Exempted Village","Belmont","Region 12","Elementary School","94.8","12","30","45738","30","100.0","13","44.1","100","135.0","135.0","100.0","135.0","0","0.0","Open","064600"
"001602","Barnesville High School","045203","Barnesville Exempted Village","Belmont","Region 12","High School","96.4","21","22","51210","22","100.0","14","64.0","100","200.0","200.0","99.5","199.0","0","0.0","Open","******"
"001628","William Barr Elementary School","044768","Sheffield-Sheffield Lake City","Lorain","Region 2","Elementary School","92.5","11","10","52536","10","100.0","9","86.7","94.6","35.0","37.0","100.0","37.0","0","0.0","Open","012005"
"001644","Barrington Road Elementary School","044933","Upper Arlington City","Franklin","Region 11","Elementary School","95.9","16","43","76603","43","100.0","30","69.7","100","208.0","208.0","100.0","208.0","0","0.0","Open","018531"
"001669","Bascom Elementary School","050245","LaBrae Local","Trumbull","Region 5","Elementary School","95.1","14","16","53027","16","100.0","8","50.0","100","98.0","98.0","100.0","98.0","0","0.0","Open","003335"
"001677","Bassett Elementary School","045062","Westlake City","Cuyahoga","Region 3","Elementary School","94.9","14","26","74214","26","100.0","20","76.9","100","108.0","108.0","100.0","108.0","0","0.0","Open","029207"
"001685","Bataan Memorial Primary School","044651","Port Clinton City","Ottawa","Region 1","Elementary School","95.7","3","24","52005","23","95.8","10","41.7","100","109.0","109.0","100.0","109.0","0","0.0","Open","018093"
"001693","Batavia Elementary School","046300","Batavia Local","Clermont","Region 13","Elementary School","95.6","12","46","52968","46","100.0","25","54.3","100","210.0","210.0","100.0","210.0","0","0.0","Open","124859"
"001701","Batavia High School","046300","Batavia Local","Clermont","Region 13","High School","94.2","12","30","54805","30","100.0","21","70.0","100","206.0","206.0","100.0","206.0","0","0.0","Open","******"
"001735","Bath Elementary School","050054","Revere Local","Summit","Region 8","Elementary School","95.2","17","30","67791","30","100.0","21","69.9","100","114.0","114.0","100.0","114.0","0","0.0","Open","009720"
"001743","Bath Elementary School","045765","Bath Local","Allen","Region 6","Elementary School","95.7","14","37","56770","37","100.0","28","75.7","96.2","150.0","156.0","100.0","156.0","0","0.0","Open","001768"
"001750","Bath High School","045765","Bath Local","Allen","Region 6","High School","96.3","15","26","54726","26","100.0","20","79.1","96.9","158.0","163.0","100.0","163.0","0","0.0","Open","******"
"001768","Bath Middle School","045765","Bath Local","Allen","Region 6","Middle School","96.2","16","31","56446","31","100.0","24","78.5","99.2","123.0","124.0","100.0","124.0","0","0.0","Open","001750"
"001776","Bauer Elementary School","044396","Miamisburg City","Montgomery","Region 10","Elementary School","95.4","15","22","64085","22","100.0","17","75.4","100","134.0","134.0","100.0","134.0","0","0.0","Open","039156"
"001792","Bay High School","043547","Bay Village City","Cuyahoga","Region 3","High School","95.6","8","50","68350","50","100.0","41","81.9","100","343.0","343.0","100.0","343.0","0","0.0","Open","******"
"001800","Bay Middle School","043547","Bay Village City","Cuyahoga","Region 3","Middle School","96.5","9","49","67359","49","100.0","40","82.6","100","203.0","203.0","100.0","203.0","0","0.0","Open","001792"
"001818","Lakeview Elementary School","050187","Lakeview Local","Trumbull","Region 5","Elementary School","93.4","12","25","49184","25","100.0","18","72.0","100","124.0","124.0","100.0","124.0","0","0.0","Open","071027"
"001842","Beachwood High School","043554","Beachwood City","Cuyahoga","Region 3","High School","95.8","12","52","80743","52","100.0","44","84.6","98.6","364.0","369.0","100.0","369.0","0","0.0","Open","******"
"001859","Beacon Elementary School","047019","Hilliard City","Franklin","Region 11","Elementary School","95","15","26","67183","26","100.0","17","63.5","100","142.0","142.0","100.0","142.0","0","0.0","Open","140814"
"001875","Beallsville Elementary School","048652","Switzerland of Ohio Local","Monroe","Region 12","Elementary School","94.8","17","14","41214","14","100.0","4","28.6","98.3","58.0","59.0","98.3","58.0","0","0.0","Open","001883"
"001883","Beallsville High School","048652","Switzerland of Ohio Local","Monroe","Region 12","High School","94","23","16","45181","16","100.0","13","78.3","92.6","50.0","54.0","100.0","54.0","0","0.0","Open","******"
"001891","Bear Elementary School","044396","Miamisburg City","Montgomery","Region 10","Elementary School","95.8","18","15","64411","15","100.0","11","70.9","100","83.0","83.0","100.0","83.0","0","0.0","Open","039156"
"001917","Beatty Park Elementary School","043802","Columbus City School District","Franklin","Region 11","Elementary School","91.1","14","13","67031","13","100.0","8","61.5","100","137.0","137.0","97.1","133.0","0","0.0","Open","000513"
"001925","Columbus Spanish Immersion K-8 School","043802","Columbus City School District","Franklin","Region 11","Elementary School","94.4","16","14","72072","14","100.0","10","71.4","100","96.0","96.0","93.7","90.0","0","0.0","Open","011995"
"001933","Beaver Local Middle School","046425","Beaver Local","Columbiana","Region 5","Middle School","93.3","15","42","52576","42","100.0","29","68.7","100","211.0","211.0","100.0","211.0","0","0.0","Open","001958"
"001958","Beaver Local High School","046425","Beaver Local","Columbiana","Region 5","High School","94.1","14","34","52917","34","100.0","24","70.6","100","149.0","149.0","100.0","149.0","0","0.0","Open","******"
"001966","Beavercreek High School","047241","Beavercreek City","Greene","Region 10","High School","95","14","118","63728","118","100.0","96","81.5","98.8","510.0","516.0","98.6","509.0","0","0.0","Open","******"
"001982","Beavertown Elementary School","044180","Kettering City","Montgomery","Region 10","Elementary School","95.9","16","20","64295","20","100.0","13","66.6","100","100.0","100.0","100.0","100.0","0","0.0","Open","018911"
"002022","Bedford High School","043562","Bedford City","Cuyahoga","Region 3","High School","96.2","11","71","62046","68","95.8","30","42.7","100","532.0","532.0","100.0","532.0","0","0.0","Open","******"
"002048","Beechwood Elementary School","045070","Whitehall City","Franklin","Region 11","Elementary School","94.9","8","26","54928","26","100.0","13","48.1","100","139.0","139.0","100.0","139.0","0","0.0","Open","032698"
"002055","Winton Woods Primary North","044081","Winton Woods City","Hamilton","Region 13","Elementary School","92.1","11","26","56371","26","100.0","13","50.0","100","108.0","108.0","100.0","108.0","0","0.0","Open","066787"
"002097","Belden Elementary School","043711","Canton City","Stark","Region 9","Elementary School","96.6","12","22","53528","20","91.0","15","68.3","100","75.0","75.0","100.0","75.0","0","0.0","Open","015495"
"002139","Bellaire High School","043570","Bellaire Local","Belmont","Region 12","High School","94","17","21","47265","21","100.0","19","90.5","91.7","110.0","120.0","100.0","120.0","0","0.0","Open","******"
"002147","Bellbrook Middle School","047274","Bellbrook-Sugarcreek Local School District","Greene","Region 10","Middle School","95.6","20","32","61073","32","100.0","27","84.3","99.1","114.0","115.0","100.0","115.0","0","0.0","Open","002154"
"002154","Bellbrook High School","047274","Bellbrook-Sugarcreek Local School District","Greene","Region 10","High School","95.7","18","42","60310","42","100.0","31","72.0","100","233.0","233.0","100.0","233.0","0","0.0","Open","******"
"002170","Benjamin Logan Elementary School","048074","Benjamin Logan Local","Logan","Region 6","Elementary School","95.8","16","34","53868","34","100.0","25","74.0","100","162.0","162.0","100.0","162.0","0","0.0","Open","061952"
"002196","Belle Haven PreK-8 School","043844","Dayton City","Montgomery","Region 10","Elementary School","92.4","14","32","46553","32","100.0","15","46.9","100","118.0","118.0","100.0","118.0","0","0.0","Open","006841"
"002220","Bellefontaine High School","043588","Bellefontaine City","Logan","Region 6","High School","96.4","15","49","54076","49","100.0","34","71.0","100","239.0","239.0","99.2","237.0","0","0.0","Open","******"
"002246","Bellevue High School","043596","Bellevue City","Huron","Region 2","High School","96.9","15","38","51022","38","100.0","17","43.9","99.1","228.0","230.0","100.0","230.0","0","0.0","Open","******"
"002253","Bellevue Middle School","043596","Bellevue City","Huron","Region 2","Middle School","95.5","17","29","57363","29","100.0","22","74.0","100","125.0","125.0","100.0","125.0","0","0.0","Open","002246"
"002279","Bellville Elementary School","049411","Clear Fork Valley Local","Richland","Region 7","Elementary School","96.8","14","26","45384","26","100.0","12","44.6","100","118.0","118.0","100.0","118.0","0","0.0","Open","134692"
"002303","Belmont High School","043844","Dayton City","Montgomery","Region 10","High School","92.5","16","60","51350","60","100.0","39","65.0","94.9","300.0","316.0","100.0","316.0","0","0.0","Open","******"
"002311","Damascus Elementary","048389","West Branch Local","Mahoning","Region 5","Elementary School","95.9","13","24","47428","24","100.0","15","62.4","100","87.0","87.0","100.0","87.0","0","0.0","Open","038547"
"002337","Belpre High School","043604","Belpre City","Washington","Region 16","High School","93.9","4","24","46466","24","100.0","15","61.8","100","220.0","220.0","100.0","220.0","0","0.0","Open","******"
"002352","Gearity Professional Development School","043794","Cleveland Heights-University Heights City","Cuyahoga","Region 3","Elementary School","91.5","12","32","77145","32","100.0","28","87.3","96.6","115.0","119.0","100.0","119.0","0","0.0","Open","******"
"002378","Benjamin Franklin","043786","Cleveland Municipal","Cuyahoga","Region 3","Elementary School","88.7","18","35","73352","35","100.0","30","85.7","96.2","254.0","264.0","97.0","256.0","0","0.0","Open","017830"
"002394","Bennett Intermediate Elementary School","044644","Piqua City","Miami","Region 10","Elementary School","95.5","11","14","52539","14","100.0","11","78.6","100","98.0","98.0","100.0","98.0","0","0.0","Open","137463"
"002436","Berkshire High School","047167","Berkshire Local","Geauga","Region 4","High School","96","13","39","49943","39","100.0","16","41.6","94.3","133.0","141.0","100.0","141.0","0","0.0","Open","******"
"002444","Western Reserve Middle School","048397","Western Reserve Local","Mahoning","Region 5","Middle School","97.8","16","12","54278","12","100.0","6","50.0","100","49.0","49.0","100.0","49.0","0","0.0","Open","042333"
"002451","Berlin Elementary School","047688","East Holmes Local","Holmes","Region 12","Elementary School","95.3","16","23","56607","23","100.0","15","66.7","100","137.0","137.0","100.0","137.0","0","0.0","Open","016220"
"002485","Edison Middle School (formerly Berlin-Milan Middle School)","046789","Edison Local (formerly Berlin-Milan)","Erie","Region 2","Middle School","94.5","19","34","62558","34","100.0","28","82.9","100","170.0","170.0","100.0","170.0","0","0.0","Open","010041"
"002493","Berne Union Elementary School","046854","Berne Union Local","Fairfield","Region 11","Elementary School","96","7","27","45668","27","100.0","16","59.3","100","107.0","107.0","100.0","107.0","0","0.0","Open","002501"
"002501","Berne Union High School","046854","Berne Union Local","Fairfield","Region 11","High School","97.4","11","27","48322","27","100.0","11","40.7","100","105.0","105.0","100.0","105.0","0","0.0","Open","******"
"002519","Berry Intermediate School","044214","Lebanon City","Warren","Region 13","Elementary School","95.1","12","47","55827","47","100.0","29","61.7","98.9","182.0","184.0","100.0","184.0","0","0.0","Open","000493"
"002527","Berwick Alternative K-8 School","043802","Columbus City School District","Franklin","Region 11","Elementary School","94.1","12","29","65375","29","100.0","19","65.5","99.4","169.0","170.0","99.4","169.0","0","0.0","Open","025346"
"002543","Bethel Elementary School","048611","Bethel Local","Miami","Region 10","Elementary School","95.1","14","27","50508","27","100.0","21","77.4","92.2","154.0","167.0","100.0","167.0","0","0.0","Open","068080"
"002568","Bethel Tate High School","046318","Bethel-Tate Local","Clermont","Region 13","High School","96.6","13","25","52209","25","100.0","16","65.1","100","254.0","254.0","100.0","254.0","0","0.0","Open","******"
"002576","Bethel High School","048611","Bethel Local","Miami","Region 10","High School","96.6","24","14","51453","14","100.0","13","92.9","100","75.0","75.0","100.0","75.0","0","0.0","Open","******"
"002584","Bethel-Tate Middle School","046318","Bethel-Tate Local","Clermont","Region 13","Middle School","95.5","16","24","50895","24","100.0","20","83.5","100","87.0","87.0","100.0","87.0","0","0.0","Open","002568"
"002600","Bettes Elementary School","043489","Akron City","Summit","Region 8","Elementary School","98.1","13","18","63353","17","94.4","8","44.4","95.7","88.0","92.0","100.0","92.0","0","0.0","Open","018804"
"002618","Bettsville Elementary","049692","Bettsville Local","Seneca","Region 7","Elementary School","97.7","5","6","47362","6","100.0","3","55.7","100","29.0","29.0","100.0","29.0","0","0.0","Open","122077"
"002626","Bettsville High School","049692","Bettsville Local","Seneca","Region 7","High School","96.7","13","5","32385","5","100.0","1","21.2","100","29.0","29.0","100.0","29.0","0","0.0","Open","******"
"002634","Betty Jane Community Learning Center","043489","Akron City","Summit","Region 8","Elementary School","97.9","16","24","64350","22","91.7","12","50.0","100","142.0","142.0","100.0","142.0","0","0.0","Open","017251"
"002642","Beverly Elementary School","044909","Toledo City","Lucas","Region 1","Elementary School","96.6","16","32","52884","32","100.0","15","46.9","90.2","166.0","184.0","92.9","171.0","0","0.0","Open","003301"
"002659","Beverly-Center Elementary School","050484","Fort Frye Local","Washington","Region 16","Elementary School","95.2","21","14","52037","14","100.0","9","61.0","100","86.0","86.0","100.0","86.0","0","0.0","Open","012591"
"002667","Beverly Gardens Elementary School","048702","Mad River Local","Montgomery","Region 10","Elementary School","94.4","10","22","56141","22","100.0","15","68.2","100","85.0","85.0","100.0","85.0","0","0.0","Open","021931"
"002675","Bexley High School","043620","Bexley City","Franklin","Region 11","High School","96","16","44","74214","44","100.0","40","90.5","100","194.0","194.0","100.0","194.0","0","0.0","Open","******"
"002683","River Valley Middle School","065680","Gallia County Local","Gallia","Region 16","Middle School","94.7","12","19","46627","19","100.0","10","52.9","100","115.0","115.0","100.0","115.0","0","0.0","Open","019364"
"002709","Big Walnut High School","046748","Big Walnut Local","Delaware","Region 11","High School","93","14","55","57821","55","100.0","41","74.3","100","267.0","267.0","100.0","267.0","0","0.0","Open","******"
"002733","Binns Elementary School","043802","Columbus City School District","Franklin","Region 11","Elementary School","93.1","9","18","60842","18","100.0","11","61.1","95","96.0","101.0","100.0","101.0","0","0.0","Open","040162"
"002758","Birmingham Elementary School","044909","Toledo City","Lucas","Region 1","Elementary School","95.6","12","25","49016","25","100.0","11","44.0","84.8","128.0","151.0","92.7","140.0","0","0.0","Open","038950"
"002766","Samuel Bissell Elementary School","050070","Twinsburg City","Summit","Region 8","Elementary School","90.1","3","36","68734","36","100.0","29","80.3","100","138.0","138.0","100.0","138.0","0","0.0","Open","061481"
"002782","Black River High School","048462","Black River Local","Medina","Region 7","High School","96.1","12","26","50702","26","100.0","18","69.2","94.7","107.0","113.0","100.0","113.0","0","0.0","Open","******"
"002824","Blairwood Elementary School","048686","Jefferson Township Local","Montgomery","Region 10","Elementary School","94.1","2","17","35407","14","82.7","4","23.1","100","55.0","55.0","100.0","55.0","0","0.0","Open","018150"
"002832","Blanchester Middle School","046383","Blanchester Local","Clinton","Region 14","Middle School","96.8","11","23","47128","23","100.0","17","74.0","100","84.0","84.0","100.0","84.0","0","0.0","Open","002840"
"002840","Blanchester High School","046383","Blanchester Local","Clinton","Region 14","High School","98.1","10","29","46031","29","100.0","16","55.3","98.6","144.0","146.0","100.0","146.0","0","0.0","Open","******"
"002857","Bloom Carroll Intermediate School","046862","Bloom-Carroll Local","Fairfield","Region 11","Elementary School","93.9","14","16","52968","16","100.0","11","72.0","100","85.0","85.0","100.0","85.0","0","0.0","Open","067926"
"002873","South Webster Jr/Sr High School","049593","Bloom-Vernon Local","Scioto","Region 15","High School","96.2","14","23","49027","23","100.0","17","71.0","94.4","136.0","144.0","94.4","136.0","0","0.0","Open","******"
"002907","Bloom Carroll Primary School","046862","Bloom-Carroll Local","Fairfield","Region 11","Elementary School","93.6","9","20","47732","20","100.0","12","62.3","100","102.0","102.0","100.0","102.0","0","0.0","Open","002857"
"002923","Edgewood Elementary School","046094","Edgewood City","Butler","Region 13","Elementary School","94.7","13","55","54511","55","100.0","42","76.2","100","219.0","219.0","100.0","219.0","0","0.0","Open","117382"
"002956","Bloomfield High School","050096","Bloomfield-Mespo Local","Trumbull","Region 5","High School","93.9","15","11","36338","11","100.0","4","37.5","100","75.0","75.0","96.0","72.0","0","0.0","Open","******"
"002964","Miami Trace Middle School","046920","Miami Trace Local","Fayette","Region 14","Middle School","96.9","16","36","48823","36","100.0","24","66.8","100","216.0","216.0","100.0","216.0","0","0.0","Open","024414"
"002980","E J Blott Elementary School","050195","Liberty Local","Trumbull","Region 5","Elementary School","95","10","22","51683","22","100.0","14","63.6","100","128.0","128.0","100.0","128.0","0","0.0","Open","014803"
"002998","Blue Ash Elementary","044867","Sycamore Community City","Hamilton","Region 13","Elementary School","94.4","13","31","65788","31","100.0","24","78.7","99.3","141.0","142.0","100.0","142.0","0","0.0","Open","036657"
"003020","Bluffton Elementary School","045211","Bluffton Exempted Village","Allen","Region 6","Elementary School","95.8","18","28","53137","28","100.0","25","87.9","100","152.0","152.0","100.0","152.0","0","0.0","Open","127639"
"003038","Bluffton High School","045211","Bluffton Exempted Village","Allen","Region 6","High School","97.6","19","19","51827","19","100.0","15","78.9","100","122.0","122.0","100.0","122.0","0","0.0","Open","******"
"003046","Wapakoneta Middle School","044982","Wapakoneta City","Auglaize","Region 6","Middle School","94.7","16","35","54733","35","100.0","25","70.5","100","150.0","150.0","100.0","150.0","0","0.0","Open","011749"
"003053","Boardman Glenwood Middle School","048306","Boardman Local","Mahoning","Region 5","Middle School","94.3","14","42","55862","42","100.0","29","69.0","100","174.0","174.0","100.0","174.0","0","0.0","Open","003061"
"003061","Boardman High School","048306","Boardman Local","Mahoning","Region 5","High School","94.6","14","88","53657","88","100.0","63","71.6","100","576.0","576.0","100.0","576.0","0","0.0","Open","******"
"003103","Bolich Middle School","043836","Cuyahoga Falls City","Summit","Region 8","Middle School","94.6","13","51","53569","49","96.1","32","62.6","100","133.0","133.0","100.0","133.0","0","0.0","Open","007930"
"003129","Tuscarawas Valley Intermediate","050302","Tuscarawas Valley Local","Tuscarawas","Region 12","Elementary School","94.7","9","21","43619","21","100.0","10","47.6","91.7","88.0","96.0","100.0","96.0","0","0.0","Open","122887"
"003137","Bolton","043786","Cleveland Municipal","Cuyahoga","Region 3","Elementary School","84.2","16","20","70074","20","100.0","15","75.0","96.7","89.0","92.0","97.8","90.0","0","0.0","Open","009555"
"003152","Bond Hill Academy Elementary School","043752","Cincinnati City","Hamilton","Region 13","Elementary School","94.7","23","16","71143","16","100.0","14","84.4","100","65.0","65.0","100.0","65.0","0","0.0","Open","147520"
"003202","Woodridge Middle School","049973","Woodridge Local","Summit","Region 8","Middle School","95.3","16","30","64579","30","100.0","20","66.9","99.2","121.0","122.0","100.0","122.0","0","0.0","Open","042051"
"003210","Botkins Elementary School","049767","Botkins Local","Shelby","Region 6","Elementary School","97.3","15","19","49825","19","100.0","15","78.4","100","121.0","121.0","100.0","121.0","0","0.0","Open","003228"
"003228","Botkins High School","049767","Botkins Local","Shelby","Region 6","High School","97.5","17","18","51787","18","100.0","14","77.8","100","109.0","109.0","100.0","109.0","0","0.0","Open","******"
"003244","Boulevard Elementary School","044750","Shaker Heights City","Cuyahoga","Region 3","Elementary School","95.5","11","21","74822","21","100.0","17","82.9","100","102.0","102.0","100.0","102.0","0","0.0","Open","041939"
"003251","Boulevard Elementary School","043794","Cleveland Heights-University Heights City","Cuyahoga","Region 3","Elementary School","93.2","12","28","74223","28","100.0","25","89.1","100","144.0","144.0","100.0","144.0","0","0.0","Open","032847"
"003277","Conotton Valley Elementary","047548","Conotton Valley Union Local","Harrison","Region 12","Elementary School","94","14","11","44442","11","100.0","6","54.5","100","62.0","62.0","100.0","62.0","0","0.0","Open","007245"
"003285","Bowling Green High School","043638","Bowling Green City School District","Wood","Region 1","High School","96","16","49","64672","49","100.0","40","81.8","100","213.0","213.0","100.0","213.0","0","0.0","Open","******"
"003293","Bowling Green Middle School","043638","Bowling Green City School District","Wood","Region 1","Middle School","96.9","14","41","62938","41","100.0","35","85.3","100","146.0","146.0","100.0","146.0","0","0.0","Open","003285"
"003301","Bowsher High School","044909","Toledo City","Lucas","Region 1","High School","97","16","73","51340","73","100.0","29","39.7","90.4","378.0","418.0","63.2","264.0","0","0.0","Open","******"
"003335","LaBrae Intermediate School","050245","LaBrae Local","Trumbull","Region 5","Elementary School","93.7","10","22","53837","22","100.0","17","77.3","100","71.0","71.0","100.0","71.0","0","0.0","Open","019992"
"003368","Bradford Elementary School","045229","Bradford Exempted Village","Miami","Region 10","Elementary School","95.4","12","17","45803","17","100.0","12","69.7","100","79.0","79.0","100.0","79.0","0","0.0","Open","003376"
"003376","Bradford High School","045229","Bradford Exempted Village","Miami","Region 10","High School","95.8","13","20","46099","20","100.0","12","58.2","100","166.0","166.0","100.0","166.0","0","0.0","Open","******"
"003400","Ballard Brady Middle School","046581","Orange City","Cuyahoga","Region 3","Middle School","94.4","7","47","81167","44","94.4","31","66.4","100","166.0","166.0","100.0","166.0","0","0.0","Open","028712"
"003434","Brantner Lane Elementary School","046359","West Clermont Local","Clermont","Region 13","Elementary School","96.4","10","20","53221","20","100.0","16","80.0","100","77.0","77.0","100.0","77.0","0","0.0","Open","013540"
"003442","Brantwood Elementary School","048702","Mad River Local","Montgomery","Region 10","Elementary School","94.8","13","22","60317","21","95.5","16","72.7","100","85.0","85.0","100.0","85.0","0","0.0","Open","021931"
"003467","Brecksville-Broadview Heights High School","043646","Brecksville-Broadview Heights City","Cuyahoga","Region 3","High School","95.6","9","73","74709","68","93.4","56","77.8","100","553.0","553.0","100.0","553.0","0","0.0","Open","******"
"003475","Brecksville-Broadview Heights Middle School","043646","Brecksville-Broadview Heights City","Cuyahoga","Region 3","Middle School","93.1","10","53","79465","53","100.0","50","95.2","100","182.0","182.0","98.9","180.0","0","0.0","Open","003467"
"003491","Brent Elementary School","047332","Finneytown Local","Hamilton","Region 13","Elementary School","95.1","14","16","63274","16","100.0","9","58.1","100","70.0","70.0","100.0","70.0","0","0.0","Open","011497"
