"Building IRN","Building Name","District IRN","District Name","County","Region","Street address","City and Zip code","Phone #","Superintendent","Grade Span","Open/Closed Status (as of 9/1/2014)","School Type","Assessment Passage Rate 2013-14 # of Testing Students","Assessment Passage Rate 2013-14 # of Proficient Students","Assessment Passage Rate 2013-14 % of Proficient Students","Assessment Passage Rate 2013-14 Rating","Four-Year Graduation Rate Numerator 2013","Four-Year Graduation Rate Denominator 2013","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","Four-Year Graduation Rate Rating","Five-Year Graduation Rate Numerator 2012","Five-Year Graduation Rate Denominator 2012","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Five-Year Graduation Rate Rating","Six-Year Graduation Rate Numerator 2011","Six-Year Graduation Rate Denominator 2011","2013 6-Year Longitudinal Graduation Rate - Class of 2011","Six-Year Graduation Rate Rating","Seven-Year Graduation Rate Numerator 2010","Seven-Year Graduation Rate Denominator 2010","2013 7-Year Longitudinal Graduation Rate - Class of 2010","Seven-Year Graduation Rate Rating","Overall AMO Points","AMO Final Rating","Watermark"
"133801","Life Skills Ctr Of Youngstown","133801","Life Skills Ctr Of Youngstown","Mahoning","Region 5","3405 Market St","Youngstown, Ohio 44507-2009","(330) 743-6698","Margaret M. Ford","9-12","Open","Dropout Recovery","31.0","16.0","51.6","Meets Standards","10","145","6.9","Does Not Meet Standards","14","156","9.0","Does Not Meet Standards","15.0","167.0","9.0","Does Not Meet Standards","19.0","174.0","10.9","Does Not Meet Standards","34.5","Exceeds Standards",""
"133835","Invictus High School","133835","Invictus High School","Cuyahoga","Region 3","3120 Euclid Ave","Cleveland, Ohio 44115-2508","(216) 539-7200","John P. Stack","9-12","Open","Dropout Recovery","28.0","7.0","25.0","Meets Standards","2","99","2.0","Does Not Meet Standards","10","145","6.9","Does Not Meet Standards","18.0","203.0","8.9","Does Not Meet Standards","16.0","247.0","6.5","Does Not Meet Standards","6.1000000000000005","Meets Standards",""
"133868","Towpath Trail High School","133868","Towpath Trail High School","Summit","Region 8","275 W Market St","Akron, Ohio 44303-2159","(234) 542-0102","John P. Stack","9-12","Open","Dropout Recovery","44.0","14.0","31.8","Meets Standards","11","136","8.1","Meets Standards","14","130","10.8","Does Not Meet Standards","13.0","126.0","10.3","Does Not Meet Standards","18.0","134.0","13.4","Meets Standards","0.4","Does Not Meet Standards",""
"142919","Life Skills Center of Elyria","142919","Life Skills Center of Elyria","Lorain","Region 2","2015 W River Rd N","Elyria, Ohio 44035-2309","(440) 324-1755","Margaret M. Ford","9-12","Open","Dropout Recovery","","","","Not Rated","2","113","1.8","Does Not Meet Standards","5","106","4.7","Does Not Meet Standards","12.0","141.0","8.5","Does Not Meet Standards","8.0","167.0","4.8","Does Not Meet Standards","0.8","Does Not Meet Standards",""
"142927","Focus Learning Academy of Southwest Columbus","142927","Focus Learning Academy of Southwest Columbus","Franklin","Region 11","190 Southwood Ave","Columbus, Ohio 43207-1133","(614) 545-2000","Julie E. Nelson Slagle","9-12","Open","Dropout Recovery","40.0","22.0","55.0","Meets Standards","21","180","11.7","Meets Standards","35","168","20.8","Meets Standards","36.0","209.0","17.2","Meets Standards","22.0","204.0","10.8","Does Not Meet Standards","0.0","Does Not Meet Standards",""
"142935","Focus Learning Academy of Southeastern Columbus","142935","Focus Learning Academy of Southeastern Columbus","Franklin","Region 11","4480 Refugee Rd","Columbus, Ohio 43232-4459","(614) 269-0150","Erin M. Scott","9-12","Open","Dropout Recovery","50.0","18.0","36.0","Meets Standards","9","112","8.0","Meets Standards","20","123","16.3","Meets Standards","18.0","152.0","11.8","Does Not Meet Standards","13.0","165.0","7.9","Does Not Meet Standards","0.0","Does Not Meet Standards",""
"143115","Mound Street IT Careers Academy","143115","Mound Street IT Careers Academy","Montgomery","Region 10","354 Mound St","Dayton, Ohio 45407-3325","(937) 223-3041","William E. Couts","9-12,UNG","Open","Dropout Recovery","","","","Not Rated","10","50","20.0","Meets Standards","14","63","22.2","Meets Standards","18.0","68.0","26.5","Meets Standards","15.0","51.0","29.400000000000002","Meets Standards","5.4","Meets Standards",""
"143123","Mound Street Military Careers Academy","143123","Mound Street Military Careers Academy","Montgomery","Region 10","354 Mound St","Dayton, Ohio 45407-3325","(937) 223-3041","William E. Couts","9-12,UNG","Open","Dropout Recovery","","","","Not Rated","6","60","10.0","Meets Standards","7","42","16.7","Meets Standards","12.0","47.0","25.5","Meets Standards","15.0","48.0","31.3","Meets Standards","2.7","Does Not Meet Standards",""
"143131","Mound Street Health Careers Acadmy","143131","Mound Street Health Careers Acadmy","Montgomery","Region 10","354 Mound St","Dayton, Ohio 45407-3325","(937) 223-3041","William E. Couts","9-12,UNG","Open","Dropout Recovery","10.0","6.0","60.0","Not Rated","10","65","15.4","Meets Standards","14","77","18.2","Meets Standards","29.0","87.0","33.3","Meets Standards","23.0","75.0","30.7","Meets Standards","9.5","Meets Standards",""
"143164","Life Skills Center Of Hamilton County","143164","Life Skills Center Of Hamilton County","Hamilton","Region 13","7710 Reading Rd","Cincinnati, Ohio 45237-6800","(513) 821-6695","Margaret M. Ford","9-12","Open","Dropout Recovery","11.0","1.0","9.1","Does Not Meet Standards","8","93","8.6","Meets Standards","25","158","15.8","Meets Standards","24.0","189.0","12.700000000000001","Meets Standards","29.0","209.0","13.9","Meets Standards","1.7","Does Not Meet Standards",""
"143305","Treca Digital Academy","143305","Treca Digital Academy","Marion","Region 7","100 Executive Dr","Marion, Ohio 43302-6306","(740) 389-4798","Mike Carder","K-12","Open","Dropout Recovery","76.0","54.0","71.10000000000001","Exceeds Standards","166","723","23.0","Meets Standards","184","765","24.1","Meets Standards","167.0","741.0","22.5","Meets Standards","124.0","583.0","21.3","Meets Standards","2.1","Does Not Meet Standards",""
"147231","Schnee Learning Center","147231","Schnee Learning Center","Summit","Region 8","2222 Issaquah St","Cuyahoga Falls, Ohio 44221-3704","(330) 922-1966","Todd M. Nichols","9-12","Open","Dropout Recovery","35.0","26.0","74.3","Exceeds Standards","47","66","71.2","Exceeds Standards","63","82","76.8","Exceeds Standards","74.0","95.0","77.9","Exceeds Standards","54.0","81.0","66.7","Exceeds Standards","91.7","Exceeds Standards",""
"148932","Franklin Local Community School","148932","Franklin Local Community School","Muskingum","Region 12","PO Box 95","Roseville, Ohio 43777-0095","(740) 697-7317","Jean Lahna","7-12","Open","Dropout Recovery","14.0","14.0","100.0","Exceeds Standards","24","27","88.9","Exceeds Standards","15","24","62.5","Exceeds Standards","0.0","21.0","0.0","Does Not Meet Standards","11.0","18.0","61.1","Exceeds Standards","50.9","Exceeds Standards",""
"148981","Tomorrow Center","148981","Tomorrow Center","Morrow","Region 7","PO Box 216","Edison, Ohio 43320-0216","(419) 946-1900","Jeffrey D. Thompson","1-12","Open","Dropout Recovery","","","","Not Rated","5","17","29.4","Meets Standards","     .","     .","    .","Not Rated","6.0","14.0","42.9","Exceeds Standards","5.0","16.0","31.3","Meets Standards","0.0","Does Not Meet Standards",""
"148999","Mahoning Unlimited Classroom","148999","Mahoning Unlimited Classroom","Mahoning","Region 5","100 Debartolo Pl Ste 170","Youngstown, Ohio 44512-6066","(330) 965-7828","Jennifer B. Whittemore","4-12","Open","Dropout Recovery","14.0","11.0","78.60000000000001","Exceeds Standards","15","49","30.6","Exceeds Standards","13","44","29.5","Meets Standards","16.0","59.0","27.1","Meets Standards","20.0","68.0","29.400000000000002","Meets Standards","69.4","Exceeds Standards",""
"149047","Goal Digital Academy","149047","Goal Digital Academy","Morrow","Region 7","890 W 4th St","Mansfield, Ohio 44906-2565","(419) 521-9008","Patricia M. Jenkins","K-12","Open","Dropout Recovery","83.0","43.0","51.800000000000004","Meets Standards","36","125","28.8","Meets Standards","26","94","27.7","Meets Standards","27.0","120.0","22.5","Meets Standards","29.0","116.0","25.0","Meets Standards","5.3","Meets Standards",""
"149054","Akron Digital Academy","149054","Akron Digital Academy","Summit","Region 8","335 S Main St","Akron, Ohio 44308-1203","(330) 237-2200","DAVID BOWLIN","K-12","Open","Dropout Recovery","41.0","28.0","68.3","Exceeds Standards","34","181","18.8","Meets Standards","61","234","26.1","Meets Standards","72.0","245.0","29.400000000000002","Meets Standards","83.0","247.0","33.6","Meets Standards","1.9000000000000001","Does Not Meet Standards",""
"149062","Urbana Community School","149062","Urbana Community School","Champaign","Region 6","711 Wood St","Urbana, Ohio 43078-1498","(937) 653-1402","Charles B. Thiel","K-12","Open","Dropout Recovery","","","","Not Rated","5","15","33.3","Exceeds Standards","11","21","52.4","Exceeds Standards","","","","Not Rated","","","","Not Rated","","Not Rated",""
"149088","Fairborn Digital Academy","149088","Fairborn Digital Academy","Greene","Region 10","700 Black Ln","Fairborn, Ohio 45324-5844","(937) 879-0511","Dorothy A. Meade","9-12","Open","Dropout Recovery","17.0","13.0","76.5","Exceeds Standards","34","69","49.3","Exceeds Standards","24","53","45.3","Exceeds Standards","42.0","77.0","54.5","Exceeds Standards","10.0","39.0","25.6","Meets Standards","62.0","Exceeds Standards",""
"149302","Life Skills Center Of Toledo","149302","Life Skills Center Of Toledo","Lucas","Region 1","1830 Adams St","Toledo, Ohio 43624-1428","(419) 241-5504","Margaret M. Ford","9-12","Open","Dropout Recovery","11.0","3.0","27.3","Meets Standards","2","93","2.2","Does Not Meet Standards","11","113","9.7","Does Not Meet Standards","9.0","176.0","5.1000000000000005","Does Not Meet Standards","8.0","180.0","4.4","Does Not Meet Standards","0.2","Does Not Meet Standards",""
"149328","Foxfire High School","149328","Foxfire High School","Muskingum","Region 12","2805 Pinkerton Lane","Zanesville, Ohio 43702-1818","(740) 453-4509","Todd M. Whiteman","9-12,UNG","Open","Dropout Recovery","67.0","59.0","88.10000000000001","Exceeds Standards","82","119","68.9","Exceeds Standards","97","124","78.2","Exceeds Standards","75.0","126.0","59.5","Exceeds Standards","43.0","110.0","39.1","Exceeds Standards","26.3","Meets Standards",""
"149427","Massillon Digital Academy, Inc","149427","Massillon Digital Academy, Inc","Stark","Region 9","930 17th St NE","Massillon, Ohio 44646-4853","(330) 830-3900","Nicki J. Howard","K-12","Open","Dropout Recovery","15.0","11.0","73.3","Exceeds Standards","12","41","29.3","Meets Standards","22","55","40.0","Exceeds Standards","18.0","38.0","47.4","Exceeds Standards","3.0","30.0","10.0","Does Not Meet Standards","0.0","Does Not Meet Standards",""
"151027","London Academy","151027","London Academy","Madison","Region 11","40 S Walnut St","London, Ohio 43140-1246","(740) 852-5703","Pauline D. Swan","9-12","Open","Dropout Recovery","27.0","17.0","63.0","Exceeds Standards","41","155","26.5","Meets Standards","46","138","33.3","Meets Standards","45.0","157.0","28.7","Meets Standards","27.0","131.0","20.6","Meets Standards","29.7","Meets Standards",""
"151076","Cardington Lincoln Local Digital Academy","151076","Cardington Lincoln Local Digital Academy","Morrow","Region 7","349 Chesterville Ave","Cardington, Ohio 43315-9217","(419) 864-4566","","K,1-12,UNG","Closed","Dropout Recovery","","","","Not Rated","7","19","36.8","Exceeds Standards","5","23","21.7","Meets Standards","3.0","16.0","18.8","Meets Standards","8.0","16.0","50.0","Exceeds Standards","","Not Rated",""
"151183","Lake Erie International High School","151183","Lake Erie International High School","Cuyahoga","Region 3","11650 Detroit Ave","Cleveland, Ohio 44102-2320","(216) 539-7229","John P. Stack","9-12,UNG","Open","Dropout Recovery","15.0","5.0","33.3","Meets Standards","3","179","1.7","Does Not Meet Standards","8","223","3.6","Does Not Meet Standards","12.0","304.0","3.9","Does Not Meet Standards","10.0","340.0","2.9","Does Not Meet Standards","28.7","Meets Standards",""
"151191","Life Skills Center Of Summit County","151191","Life Skills Center Of Summit County","Summit","Region 8","2168 Romig Rd","Akron, Ohio 44320-3879","(330) 745-3678","Margaret M. Ford","9-12","Open","Dropout Recovery","10.0","8.0","80.0","Not Rated","6","78","7.7","Meets Standards","9","87","10.3","Does Not Meet Standards","21.0","114.0","18.400000000000002","Meets Standards","12.0","124.0","9.700000000000001","Does Not Meet Standards","0.4","Does Not Meet Standards",""
"151209","Life Skills Of Northeast Ohio","151209","Life Skills Of Northeast Ohio","Cuyahoga","Region 3","12201 Larchmere Blvd","Cleveland, Ohio 44120-1101","(216) 421-7587","Margaret M. Ford","9-12,UNG","Open","Dropout Recovery","18.0","4.0","22.2","Meets Standards","2","155","1.3","Does Not Meet Standards","10","169","5.9","Does Not Meet Standards","27.0","237.0","11.4","Does Not Meet Standards","40.0","294.0","13.6","Meets Standards","0.0","Does Not Meet Standards",""
