"School IRN","Name","Address","City","State","Postal Code","Virtual","Open Status","County","Sponsor","Operator","Organization Status","Years in operation","Grades Served","Specialization","Avg Teacher Exp","% of teachers with masters degrees","Teacher attendance %","# of students","# of FT teachers","Student-teacher ratio","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white","% enrolled less than 3 years","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","State Funding per Student","% Spent in Classroom","% Spent on Administration","Third Grade Reading Student Count","Third Grade Reading Student Count At or Above 392","Third Grade Reading Percentage","Read 3rd Grade % at or above Proficient","Letter grade of four year graduation rate"
"012852","Citizens Academy East","12523 Woodside Ave","Cleveland","OH","44108-2422","Site Based","Open","Cuyahoga","Cleveland Municipal","Breakthrough Charter Schools","Non Profit","1","K-5","General","4","21.4","97.9","238","14","17.0",">95.0","NA","NA","NA","NA","100.0","D","B","96.098","NA","NA","NA","NA","F","94.6","NA","7484.29","80.5","19.5","40.0","36","90.0","80.5","NA"
"012030","Near West Intergenerational School","3805 Terrett Ave","Cleveland","OH","44113-2847","Site Based","Open","Cuyahoga","Cleveland Municipal","Freestanding","Non Profit","2","K-8","General","4","50.0","97.4","133","16","8.3","60.9","12.0","NA","19.5","80.5","100.0","D","B","96.310","B","NA","NA","NA","F","94.7","NA","7458.69","83.4","16.6","10.0","10","100.0","90.0","NA"
"012031","Entrepreneurship Preparatory School - Woodland Hills Campus","9201 Crane Ave","Cleveland","OH","44105-1627","Site Based","Open","Cuyahoga","Cleveland Municipal","Freestanding","Non Profit","1","5-8","General","2","34.6","97.6","211","20","10.6",">95.0","15.6","NA","NA","NA","100.0","F","C","85.011","A","NA","A","A","F","94.5","NA","7126.13","76.5","23.5","NA","NA","NA","NA","NA"
"012105","Southside Academy","1833 Market St","Youngstown","OH","44507-1137","Site Based","Open","Mahoning","Ohio Council of Community Schools","White Hat Management, Inc.","For Profit","3","K-12","General","4","15.4","94.9","223","20","11.2",">95.0","24.2","NA","NA","NA","57.2","F","D","60.667","C","NA","F","F","F","89.7","NA","7844.79","80.1","19.9","22.0","14","68.2","35.7","NA"
"134221","Colonial Prep Academy","2199 5th St SW","Akron","OH","44314-2405","Site Based","Open","Summit","St Aloysius Orphanage","White Hat Management, Inc.","For Profit","-85","K-8","General","10","20.0","97.1","162","15","10.8",">95.0","17.9","NA","NA","NA","100.0","F","D","75.309","B","NA","C","C","F","91.2","NA","7435.45","96.3","3.7","14.0","14","100.0","81.3","NA"
"133330","T.C.P. World Academy","6000 Ridge Ave","Cincinnati","OH","45213-1624","Site Based","Open","Hamilton","Educational Resource Consultants of Ohio","Freestanding","Non Profit","13","K-8","General","6","57.1","97.5","508","28","18.1","81.5","10.4","NA","NA","NA","56.7","B","B","100.534","F","NA","C","C","C","95.6","NA","6713.51","91.7","8.3","82.0","81","98.8","90.4","NA"
"000838","Horizon Science Academy-Denison Middle School","1700 Denison Ave","Cleveland","OH","44109-2925","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Concept Schools","Non Profit","9","K-12","General","2","12.5","97.3","300","24","12.5","72.0","10.0","NA","18.3","81.7","78.7","F","D","76.836","F","NA","NA","D","F","93.7","NA","7383.02","90.8","9.2","22.0","14","68.2","29.2","NA"
"143529","North Dayton School Of Science & Discovery","3901 Turner Rd","Dayton","OH","45415-3654","Site Based","Open","Montgomery","ESC of Lake Erie West","National Heritage Academies","For Profit","11","K-8","General","9","51.9","100","494","29","17.0",">95.0","11.3","NA","5.9","94.1","100.0","F","D","76.084","C","NA","C","C","F","93.4","NA","7344.42","91.6","8.4","58.0","49","84.5","79.3","NA"
"000321","Constellation Schools: Old Brooklyn Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Open","Cuyahoga","Buckeye Community Hope Foundation","Constellation Schools, LLC","For Profit","8","5-9","General","0","13.0","97.1","189","15","12.6","43.4","9.5","NA","72.0","28.0","84.7","C","B","99.878","D","NA","C","C","A","95.7","NA","6910.13","91.5","8.5","NA","NA","NA","NA","NA"
"000320","Constellation Schools: Lorain Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Open","Lorain","Buckeye Community Hope Foundation","Constellation Schools, LLC","For Profit","9","5-9","General","0","9.3","98.7","115","11","10.5",">95.0","14.8","NA","33.9","66.1","100.0","F","C","92.650","A","NA","C","B","F","94.4","NA","7109.72","94.6","5.4","NA","NA","NA","NA","NA"
"151175","West Central Learning Academy II","522 W North St","Lima","OH","45801-4215","ESchool                                                                ","Open","Allen","Lima City","Freestanding","Non Profit","11","7-12,PS,UNG","General","25","66.0","99.5","55","8","6.9","61.8","NA","NA","72.7","27.3","100.0","NA","B","97.679","NA","NA","NA","NA","B","95.9","NA","5889.71","82.4","17.6","NA","NA","NA","NA","F"
"010205","L. Hollingworth School for Talented and Gifted","653 Miami St","Toledo","OH","43605-2277","Site Based","Open","Lucas","Buckeye Community Hope Foundation","Freestanding","Non Profit","4","K-8","General","2","7.1","100","221","14","15.8","60.6","12.2","NA","29.4","70.6","65.6","F","D","83.119","C","NA","A","C","F","94.4","NA","7363.33","79.7","20.3","30.0","29","96.7","61.9","NA"
"012026","Constellation Schools: Collinwood Village Academy","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Open","Cuyahoga","Buckeye Community Hope Foundation","Constellation Schools, LLC","For Profit","2","K-12","General","0","36.8","99.2","98","9","10.9","91.8","15.3","NA","NA","NA","100.0","F","D","68.356","D","NA","NA","F","F","93.5","NA","7648.20","91.0","9.0","NA","24","35.7","35.7","NA"
"012025","Constellation Schools: Stockyard Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Open","Cuyahoga","Buckeye Community Hope Foundation","Constellation Schools, LLC","For Profit","3","K-8","General","1","13.4","98.9","73","7","10.4",">95.0","24.7","NA","43.8","56.2","100.0","F","D","83.545","D","NA","C","C","F","94.1","NA","7353.84","92.6","7.4","NA","NA","NA","NA","NA"
"012029","Citizens Leadership Academy","9711 Lamont Ave","Cleveland","OH","44106-4124","Site Based","Open","Cuyahoga","Cleveland Municipal","Breakthrough Charter Schools","Non Profit","2","6-8","General","6","46.7","96.8","302","31","9.7","74.2","14.2","NA","NA","NA","100.0","F","C","93.172","F","NA","F","D","F","95.2","NA","7033.12","82.2","17.8","NA","NA","NA","NA","NA"
"134122","Autism Model School","3020 Tremainsville Rd","Toledo","OH","43613-1901","Site Based","Open","Lucas","ESC of Lake Erie West","Freestanding","Non Profit","-85","K-12","Special Education","1","14.8","0.0","111","27","4.1","57.7",">95.0","NA","64.0","36.0","51.4","F","D","73.875","NA","NA","NA","NA","F","90.8","NA","31300.87","89.4","10.6","NA","17","NA","NA","F"
"010182","Performance Academy Eastland","2220 S Hamilton Rd","Columbus","OH","43232-4304","Site Based","Open","Franklin","Ohio Council of Community Schools","EdVantages","Non Profit","5","K-8","General","0","27.1","97.9","296","30","9.9","91.2","20.9","NA","8.1","91.9","85.8","F","D","82.050","F","NA","C","D","F","95.3","NA","7006.41","100.0","0.0","28.0","25","89.3","64.3","NA"
"133306","Summit Academy Community School for Alternative Learn-Canton","1620 Market Ave S","Canton","OH","44707-3778","Site Based","Open","Stark","ESC of Lake Erie West","Summit Academy Management","Non Profit","13","K,1-10,UNG","Special Education","3","48.9","100","133","24","5.5",">95.0","87.2","NA","75.2","24.8","77.6","F","D","65.427","C","NA","C","B","F","93.8","NA","16483.76","97.0","3.0","13.0","5","38.5","26.7","NA"
"013082","The Haley School","4556 Warrensville Center Rd","North Randall","OH","44128-4134","Site Based","Open","Cuyahoga","St Aloysius Orphanage","Freestanding","Non Profit","1","K-8","General","0","20.0","99.1","149","10","14.9","92.6","18.1","NA","NA","NA","100.0","F","D","83.205","B","NA","NA","C","F","94.9","NA","6963.38","80.6","19.4","15.0","14","93.3","82.4","NA"
"013240","Cincinnati State STEM Academy","3520 Central Pkwy Ste 143 Mezz","Cincinnati","OH","45223-2612","Site Based","Open","Hamilton","Office of School Sponsorship","Freestanding","Non Profit","1","9-12","General","0","16.7","98.2","140","6","23.3","75.0","15.7","NA","20.0","80.0","100.0","D","D","83.333","NA","NA","NA","NA","F","89.2","NA","6037.85","86.4","13.6","NA","NA","NA","NA","F"
"143644","Sciotoville","224 Marshall St","Portsmouth","OH","45662-5549","Site Based","Open","Scioto","Thomas B. Fordham Foundation","Freestanding","Non Profit","12","5-12","General","3","30.8","96.2","340","26","13.1","81.2","20.6","NA","93.2","6.8","72.9","F","C","84.383","F","NA","F","C","F","93.2","NA","7149.04","91.4","8.6","NA","NA","NA","NA","C"
"143396","Alternative Education Academy","1830 Adams St","Toledo","OH","43624-1428","ESchool                                                                ","Open","Lucas","Ohio Council of Community Schools","White Hat Management, Inc.","For Profit","12","K-12","General","4","43.2","94.6","1958","81","24.2","56.1","10.4","1.2","73.1","26.9","80.7","F","D","74.353","F","NA","D","C","F","84.2","NA","6346.79","79.4","20.6","63.0","49","77.8","50.0","F"
"000770","Maritime Academy of Toledo, The","803 Water St","Toledo","OH","43604-1831","Site Based","Open","Lucas","ESC of Central Ohio","Freestanding","Non Profit","7","5-12,SN","General","6","15.4","100","219","20","10.9","93.2","23.7","NA","49.3","50.7","82.6","F","C","85.362","C","NA","NA","C","F","92.6","NA","7614.88","85.9","14.1","NA","NA","NA","NA","F"
"000779","Educational Academy for Boys & Girls","1500 W 3rd Ave","Columbus","OH","43212-2843","Site Based","Open","Seneca","St Aloysius Orphanage","Freestanding","Non Profit","7","K-12","General","1","28.5","87","78","5","15.6",">95.0","NA","NA","NA","NA","100.0","F","D","74.130","NA","NA","NA","NA","NA","93.9","NA","7398.73","86.2","13.8","12.0","9","75.0","23.1","NA"
"151233","Lakewood Digital Academy","PO Box 70","Hebron","OH","43025-0070","ESchool                                                                ","Open","Licking","Lakewood Local","Freestanding","Non Profit","10","K-12","General","18","77.2","98.1","47","13","3.6","57.4","25.5","NA",">95.0","<5.0","100.0","NA","C","90.714","NA","NA","NA","NA","NA","91.6","NA","6556.90","62.8","37.2","NA","13","NA","NA","F"
"012052","Imagine on Superior","1500 Superior Ave NE","Canton","OH","44705-1956","Site Based","Open","Portage","Portage County ESC","Imagine Schools, Inc.","For Profit","3","K-6","General","4","32.0","97.3","119","25","4.8",">95.0","9.2","NA","19.3","80.7","100.0","F","D","64.130","C","NA","NA","C","NA","95.0","NA","7387.17","97.9","2.1","NA","8","45.0","35.7","NA"
"012054","North Central Academy","928 W Market St Ste B","Tiffin","OH","44883-2529","Site Based","Open","Seneca","North Central Ohio ESC","Freestanding","Non Profit","3","6-12","General","8","50.0","96.3","94","8","11.8","71.3","21.3","NA","86.2","13.8","100.0","F","D","83.154","D","NA","NA","NA","F","89.0","NA","7142.20","87.2","12.8","NA","NA","NA","NA","F"
"012924","DECA PREP","200 Homewood Ave","Dayton","OH","45405-4328","Site Based","Open","Montgomery","Thomas B. Fordham Foundation","Freestanding","Non Profit","1","K-6","General","5","18.8","99.4","325","24","13.5","34.5","NA","NA","NA","NA","100.0","D","C","95.885","F","NA","NA","C","A","96.5","NA","7280.90","94.1","5.9","57.0","55","96.5","91.4","NA"
"132993","Constellation Schools: Westpark Community Elementary","16210 Lorain Ave","Cleveland","OH","44111-5521","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Constellation Schools, LLC","For Profit","12","K-4","General","1","10.5","99.2","299","19","15.7","56.2","9.4","NA","66.2","33.8","74.3","A","B","103.740","A","NA","C","B","A","95.5","NA","7514.45","90.9","9.1","52.0","50","96.2","91.7","NA"
"000585","FCI Academy","2177 Mock Rd","Columbus","OH","43219-1258","Site Based","Open","Franklin","ESC of Lake Erie West","Freestanding","Non Profit","9","K-12","General","0","16.2","100","374","37","10.1","82.4","3.2","NA","NA","NA","77.8","F","D","71.796","F","NA","NA","C","F","89.3","NA","6761.87","89.8","10.2","34.0","22","64.7","66.7","F"
"143297","The Autism Academy Of Learning","219 Page St","Toledo","OH","43620-1430","Site Based","Open","Lucas","ESC of Lake Erie West","Freestanding","Non Profit","12","K-12","Special Education","1","40.0","0.0","51","10","5.1","78.4",">95.0","NA","54.9","45.1","41.2","NA","F","50.727","NA","NA","NA","NA","NA","92.7","NA","30101.23","88.7","11.3","NA","424","NA","NA","NA"
"143479","Constellation Schools: Puritas Community Elementary","15204 Puritas Ave","Cleveland","OH","44135-2716","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Constellation Schools, LLC","For Profit","10","K-4","General","1","39.6","97.7","186","13","14.3","81.7","9.1","NA","47.3","52.7","82.3","A","B","104.928","C","NA","NA","C","D","95.0","NA","7231.15","89.2","10.8","31.0","29","93.5","85.3","NA"
"000909","V L T Academy","1100 Sycamore St","Cincinnati","OH","45202-1321","Site Based","Closed","Hamilton","Educational Resource Consultants of Ohio","Freestanding","Non Profit","8","K-12","General","6","33.9","96.6","605","56","10.8",">95.0","5.6","NA","NA","NA","70.5","F","D","66.558","F","NA","NA","D","F","89.0","NA","6681.94","91.1","8.9","69.0","29","42.0","34.8","F"
"012033","Foxfire Intermediate School","2805 Pinkerton Ln","Zanesville","OH","43701-8593","Site Based","Open","Muskingum","Maysville Local","Freestanding","Non Profit","3","K-8","General","2","11.7","99","106","10","10.6",">95.0","48.1","NA","87.7","12.3","100.0","F","D","60.000","D","NA","F","F","F","93.1","NA","7990.03","90.2","9.8","NA","37","NA","NA","NA"
"011487","Falcon Academy of Creative Arts","2900 State Route 43","Mogadore","OH","44260-9715","Site Based","Open","Portage","Field Local","Freestanding","Non Profit","3","3-7","General","7","28.4","95.2","195","14","13.9","22.1","9.2","14.4","94.4","5.6","84.0","C","B","103.155","F","B","NA","C","B","96.8","NA","6335.91","92.1","7.9","50.0","47","94.0","90.0","NA"
"012045","Patriot Preparatory Academy","4938 Beatrice Dr","Columbus","OH","43227-2113","Site Based","Open","Franklin","Reynoldsburg City","Freestanding","Non Profit","3","K-12","General","7","45.0","97.1","582","38","15.3","54.5","4.0","NA","8.2","91.8","68.8","D","C","89.527","B","NA","NA","B","F","95.4","NA","6211.33","89.4","10.6","41.0","41","100.0","83.7","A"
"012684","Broadway Academy","3398 E 55th St","Cleveland","OH","44127-1691","Site Based","Open","Cuyahoga","St Aloysius Orphanage","White Hat Management, Inc.","For Profit","2","K-8","General","3","24.1","94.9","321","29","11.1",">95.0","9.0","NA","3.1","96.9","100.0","F","F","58.801","F","NA","NA","F","F","87.1","NA","7462.21","84.0","16.0","24.0","16","66.7","27.6","NA"
"011468","Columbus Bilingual Academy-North","3360 Kohr Blvd","Columbus","OH","43224-3051","Site Based","Open","Franklin","Richland Academy","Freestanding","Non Profit","3","K-8","General","0","9.1","98.7","237","11","21.5",">95.0","10.1","NA","NA","NA","93.5","F","D","66.980","B","NA","NA","C","F","94.9","NA","7095.02","84.6","15.4","26.0","25","96.2","43.3","NA"
"134072","Youngstown Community School","50 Essex St","Youngstown","OH","44502-1838","Site Based","Open","Mahoning","Mahoning County ESC","Freestanding","Non Profit","-85","K-6","General","14","10.3","95.7","330","29","11.4","94.8","8.8","NA","NA","NA","62.8","F","C","87.827","F","NA","F","F","F","95.9","NA","7725.23","92.2","7.8","43.0","37","86.0","81.8","NA"
"133678","Riverside Academy","3280 River Rd","Cincinnati","OH","45204-1214","Site Based","Open","Hamilton","Ohio Council of Community Schools","White Hat Management, Inc.","For Profit","14","K-12","General","4","31.3","94.9","271","34","8.0",">95.0","19.9","NA","58.7","41.3","80.1","F","D","68.560","C","NA","C","D","F","86.9","NA","7385.58","82.8","17.2","24.0","14","58.3","48.3","NA"
"133454","Dayton Leadership Academies-Dayton View Campus","1416 W Riverview Ave","Dayton","OH","45402-6217","Site Based","Open","Montgomery","Thomas B. Fordham Foundation","Edison Learning, Inc.","For Profit","13","K-8","General","3","39.1","96","401","28","14.3",">95.0","18.0","NA","NA","NA","66.8","F","D","75.678","F","NA","C","C","F","94.2","NA","7475.74","90.5","9.5","42.0","20","47.6","42.2","NA"
"013132","Lake Erie College Preparatory School","14405 Saint Clair Ave","Cleveland","OH","44110-3433","Site Based","Open","Cuyahoga","Ohio Council of Community Schools","Freestanding","Non Profit","1","K-12","General","2","10.0","100","282","13","21.7","86.5","9.2","NA","NA","NA","100.0","F","D","80.399","A","NA","B","A","F","89.5","NA","7389.17","87.6","12.4","19.0","13","68.4","61.9","NA"
"000808","Horizon Science Academy-Dayton","4751 sue ann blvd","Dayton","OH","45415","Site Based","Open","Montgomery","ESC of Lake Erie West","Concept Schools","Non Profit","9","K-6","General","4","45.5","97.1","154","11","14.0",">95.0","16.2","NA","9.1","90.9","89.9","F","D","71.328","B","NA","C","C","F","92.5","NA","7646.93","86.5","13.5","28.0","27","96.4","44.4","NA"
"000804","Horizon Science Academy-Cincinnati","1055 Laidlaw Ave","Cincinnati","OH","45237-5005","Site Based","Open","Hamilton","ESC of Lake Erie West","Concept Schools","Non Profit","9","K-12","General","4","36.1","96.6","452","36","12.6",">95.0","15.7","NA","2.7","97.3","82.0","F","D","76.661","F","NA","F","F","F","90.9","NA","6656.63","90.2","9.8","26.0","20","76.9","57.7","D"
"000576","King Academy Community School","224 W Liberty St","Cincinnati","OH","45202-6990","Site Based","Open","Hamilton","Educational Resource Consultants of Ohio","Freestanding","Non Profit","9","K-8","General","1","11.1","99.9","123","5","24.6",">95.0","NA","NA","NA","NA","69.9","D","C","92.137","A","NA","NA","NA","F","99.0","NA","6861.99","82.4","17.6","12.0","8","66.7","70.6","NA"
"000577","Emerson Academy","501 Hickory St","Dayton","OH","45410-1232","Site Based","Open","Montgomery","ESC of Lake Erie West","National Heritage Academies","For Profit","9","K-8","General","5","62.2","100","699","37","18.9","93.1","15.6","NA","64.9","35.1","100.0","F","C","87.192","A","NA","C","A","F","93.0","NA","7433.86","93.2","6.8","77.0","61","79.2","74.4","NA"
"000575","Hope Academy Northwest Campus","1441 W 116th St","Cleveland","OH","44102-2301","Site Based","Open","Cuyahoga","Ohio Council of Community Schools","White Hat Management, Inc.","For Profit","9","K-12","General","2","28.6","94.9","283","25","11.3",">95.0","13.8","NA","28.3","71.7","67.6","F","D","77.692","F","NA","F","F","F","91.2","NA","7502.54","76.9","23.1","33.0","29","87.9","78.8","NA"
"011923","Northeast Ohio College Preparatory School","2280 Professor Ave","Cleveland","OH","44113-4467","Site Based","Open","Cuyahoga","Educational Resource Consultants of Ohio","Freestanding","Non Profit","3","K-12","General","3","24.8","99.9","480","27","17.8","89.8","13.8","NA","6.3","93.7","100.0","F","C","88.546","A","NA","NA","C","F","90.2","NA","7444.44","86.0","14.0","33.0","28","84.8","59.5","NA"
"151035","Pleasant Community Digital","1107 Owens Rd W","Marion","OH","43302-8421","Site Based","Open","Marion","Pleasant Local","Freestanding","Non Profit","9","K","General","11","54.5","96.4","108","6","18.0","42.6","14.8","NA",">95.0","<5.0","100.0","NA","NA","NA","NA","NA","NA","NA","NA","94.7","NA","3852.87","97.8","2.2","NA","NA","NA","NA","NA"
"011324","Hardin Community School","1211 W Lima St Ste A","Kenton","OH","43326-8846","Site Based","Open","Hardin","Hardin County ESC","Freestanding","Non Profit","3","6-12","General","1","0.0","100","35","1","35.0","91.4","NA","NA","91.4","8.6","100.0","NA","NA","NA","NA","NA","NA","NA","NA","92.1","NA","6588.65","90.7","9.3","NA","NA","NA","NA","F"
"000623","Summit Academy-Youngstown","144 N Schenley Ave","Youngstown","OH","44509-2041","Site Based","Open","Mahoning","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","K-12","Special Education","4","18.2","100","176","33","5.3",">95.0","78.4","NA","39.2","60.8","81.2","F","F","56.068","C","NA","B","A","F","91.0","NA","15614.17","99.2","0.8","12.0","7","58.3","16.7","NA"
"000621","Summit Academy Transition High School Dayton","1407 E 3rd St","Dayton","OH","45403-1818","Site Based","Open","Montgomery","Kids Count of Dayton, Inc.","Summit Academy Management","Non Profit","6","9-12,UNG","Special Education","4","51.9","0.0","90","27","3.3","72.2","78.9","NA","64.4","35.6","86.0","F","D","80.095","NA","NA","NA","NA","NA","92.7","NA","16745.18","96.8","3.2","NA","NA","NA","NA","F"
"000629","Summit Academy Community School - Painesville","268 N State St","Painesville","OH","44077-4009","Site Based","Open","Lake","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","K,1-10,UNG","Special Education","4","20.8","97.9","93","24","3.9","91.4",">95.0","NA","71.0","29.0","81.5","F","D","67.113","B","NA","C","A","F","93.2","NA","15226.46","96.9","3.1","NA","108","NA","NA","NA"
"012078","Quest Community School","12000 Snow Rd Ste 415","Parma","OH","44130-9313","Site Based","Open","Cuyahoga","Portage County ESC","Freestanding","Non Profit","2","9-12","General","0","0.0","0.0","NA","4","NA","NA","NA","NA","NA","NA","","F","D","72.967","NA","NA","NA","NA","NA","0.0","NA","7341.47","62.8","37.2","NA","NA","NA","NA","F"
"012671","Constellation Schools: Eastside Arts Academy","6700 Lansing Ave","Cleveland","OH","44105-3756","Site Based","Open","Cuyahoga","St Aloysius Orphanage","Constellation Schools, LLC","For Profit","2","K-8","General","0","8.2","98.8","97","10","9.7",">95.0","13.4","NA","23.7","76.3","100.0","F","D","83.594","C","NA","NA","NA","NA","91.8","NA","7069.30","91.0","9.0","12.0","9","75.0","58.3","NA"
"011470","A.B. Graham Academy","370 E Main St","Saint Paris","OH","43072-9200","Site Based","Closed","Champaign","Graham Local","Freestanding","Non Profit","4","K-12","General","11","100.0","96.3","258","2","129.0","14.0","10.5","NA",">95.0","<5.0","78.7","D","C","85.868","F","NA","F","F","F","100.0","NA","6591.98","91.9","8.1","12.0","11","91.7","100.0","F"
"133660","Horizon Science Academy Columbus","1070 Morse Rd","Columbus","OH","43229-6290","Site Based","Open","Franklin","ESC of Lake Erie West","Concept Schools","Non Profit","14","9-12","General","4","32.3","97.4","426","31","13.7",">95.0","5.9","NA","8.9","91.1","90.8","A","B","97.846","NA","NA","NA","NA","D","94.9","NA","6341.36","88.5","11.5","NA","NA","NA","NA","F"
"013233","Southern Ohio Academy","522 Glenwood Ave","New Boston","OH","45662-5505","Site Based","Open","Scioto","Scioto County Career Technical Center","Freestanding","Non Profit","1","7-12","General","109","45.0","98.9","83","2","41.5","75.9","27.7","NA",">95.0","<5.0","100.0","F","D","67.681","NA","NA","NA","NA","NA","97.2","NA","6896.70","50.0","50.0","NA","NA","NA","NA","F"
"013232","A+ Children's Academy","100 Obetz Rd","Columbus","OH","43207-4031","Site Based","Open","Franklin","Office of School Sponsorship","Freestanding","Non Profit","1","K-12","General","7","21.6","99.1","103","15","6.9","88.3","12.6","NA","55.3","44.7","100.0","NA","D","73.667","F","NA","NA","F","NA","93.9","NA","6918.28","88.3","11.7","NA","14","75.0","NA","NA"
"132746","Summit Acdy Comm Schl for Alternative Learners of Middletown","4700 Central Ave","Middletown","OH","45044-5354","Site Based","Open","Butler","ESC of Lake Erie West","Summit Academy Management","Non Profit","12","K,1-10,UNG","Special Education","1","19.4","100","85","16","5.3","75.3","72.9","NA","85.9","14.1","82.9","F","D","65.571","B","NA","C","C","F","94.1","NA","14232.04","96.8","3.2","11.0","10","90.9","58.3","NA"
"133280","Washington Park Community","4000 Washington Park Blvd","Newburgh Heights","OH","44105-3248","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Freestanding","Non Profit","12","K-8","General","7","53.3","96.7","225","15","15.0","86.2","13.3","NA","68.4","31.6","53.0","D","C","91.585","C","NA","NA","C","F","93.9","NA","7332.76","91.9","8.1","24.0","23","95.8","83.3","NA"
"000564","Virtual Schoolhouse, Inc.","736 Lakeview Rd","Cleveland","OH","44108-2608","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Freestanding","Non Profit","9","K-12","Special Education","4","31.2","95.6","303","23","13.2","85.1","61.7","NA","9.9","90.1","86.1","F","F","44.141","F","NA","D","F","F","90.5","NA","9686.29","83.1","16.9","12.0","7","58.3","30.8","F"
"000560","Apex Academy","16005 Terrace Rd","Cleveland","OH","44112-2001","Site Based","Open","Cuyahoga","ESC of Lake Erie West","National Heritage Academies","For Profit","9","K-8","General","6","37.9","100","551","29","19.0",">95.0","7.8","NA","NA","NA","100.0","F","D","76.720","B","NA","C","A","F","93.9","NA","7281.89","91.8","8.2","58.0","30","53.4","44.3","NA"
"143453","Mollie Kessler","118 E Wood St","Youngstown","OH","44503-1625","Site Based","Closed","Mahoning","Buckeye Community Hope Foundation","Freestanding","Non Profit","11","1-8","Special Education","10","28.6","100","62","7","8.9","67.7",">95.0","NA","43.5","56.5","62.7","F","F","59.708","F","NA","C","C","F","92.7","NA","10378.45","88.9","11.1","NA","37","NA","NA","NA"
"000634","Summit Academy Secondary School - Middletown","7 S Marshall Rd","Middletown","OH","45044-5375","Site Based","Open","Butler","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","5-12,UNG","Special Education","5","26.3","0.0","82","19","4.3","59.8","80.5","NA","92.7","7.3","100.0","F","D","77.360","D","NA","D","C","F","91.4","NA","15227.65","96.8","3.2","NA","NA","NA","NA","B"
"000633","Summit Academy Toledo Learning Center","5115 Glendale Ave Ste N","Toledo","OH","43614-1801","Site Based","Open","Lucas","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","K-12","Special Education","3","28.6","100","169","42","4.0",">95.0","79.9","NA","47.9","52.1","92.9","F","D","73.710","C","NA","A","A","F","91.3","NA","14271.47","97.0","3.0","NA","37","NA","NA","F"
"009181","Clay Avenue Community School","1030 Clay Ave","Toledo","OH","43608-2167","Site Based","Open","Lucas","Ohio Council of Community Schools","Imagine Schools, Inc.","For Profit","6","K-12","General","4","33.3","97.9","494","36","13.7",">95.0","9.3","NA","5.3","94.7","78.1","F","D","77.043","B","NA","C","C","F","93.1","NA","7720.61","82.6","17.4","55.0","51","92.7","57.6","NA"
"012060","Akros Middle School","265 Park St","Akron","OH","44304-1305","Site Based","Open","Summit","St Aloysius Orphanage","Freestanding","Non Profit","3","6-8","General","5","21.4","0.0","122","14","8.7",">95.0","17.2","NA","NA","NA","100.0","F","D","82.399","A","NA","B","A","F","94.4","NA","7412.66","92.4","7.6","NA","NA","NA","NA","NA"
"012668","Garfield Academy","1379 Garfield Ave SW","Canton","OH","44706-5200","Site Based","Open","Stark","Buckeye Community Hope Foundation","White Hat Management, Inc.","For Profit","2","K-12","General","1","15.6","94.9","200","21","9.5","95.0","22.0","NA","26.0","74.0","100.0","F","D","64.172","C","NA","C","C","F","91.4","NA","7607.21","85.3","14.7","21.0","14","66.7","40.0","NA"
"009964","Sciotoville Elementary Academy","5540 3rd St","Sciotoville","OH","45662-5402","Site Based","Open","Scioto","Thomas B. Fordham Foundation","Freestanding","Non Profit","5","K-4","General","6","28.6","96.4","139","14","9.9","84.9","15.1","NA","93.5","6.5","76.3","F","C","92.600","C","NA","D","C","F","94.3","NA","7711.31","87.7","12.3","18.0","18","100.0","85.7","NA"
"012536","UBAH Math & Reading Academy","3850 Sullivant Ave","Columbus","OH","43228-4327","Site Based","Open","Franklin","St Aloysius Orphanage","Freestanding","Non Profit","1","K-8","General","1","50.0","100","142","8","17.8","88.7","11.3","NA","NA","NA","100.0","F","F","57.800","C","NA","NA","C","F","95.7","NA","7328.95","84.9","15.1","15.0","14","93.3","47.8","NA"
"133439","Cornerstone Academy Community","6015 E Walnut St","Westerville","OH","43081-9620","Site Based","Open","Franklin","St Aloysius Orphanage","Mosaica Education, Inc.","For Profit","13","K-12","General","2","34.4","97.5","516","29","17.8","49.0","9.5","NA","41.5","58.5","79.8","D","B","98.753","A","NA","NA","C","F","96.1","NA","6531.70","82.7","17.3","46.0","45","97.8","80.0","NA"
